"count","time","lineColor","label"
"192","50","","50"
"193","10300","#AF0B0B","10300"
"194","4450","#076969","4450"
"195","1000","#AF550B","1000"
"196","350","#098C09","350"
"197","10000","#AF0B0B","10000"
"198","4900","#076969","4900"
"199","1000","#AF550B","1000"
"200","350","#098C09","350"
"201","10000","#AF0B0B","10000"
"202","5750","#076969","5750"
"203","1050","#AF550B","1050"
"204","350","#098C09","350"
"205","10000","#AF0B0B","10000"
"206","4850","#076969","4850"
"207","1000","#AF550B","1000"
"208","350","#098C09","350"
"209","10000","#AF0B0B","10000"
"210","4800","#076969","4800"
"211","1000","#AF550B","1000"
"212","350","#098C09","350"
"213","10000","#AF0B0B","10000"
"214","4850","#076969","4850"
"215","1000","#AF550B","1000"
"216","400","#098C09","400"
"217","1900","#AF0B0B","1900"
