"count","time","lineColor","label"
"167","50","","50"
"168","10250","#AF0B0B","10250"
"169","5850","#076969","5850"
"170","1000","#AF550B","1000"
"171","350","#098C09","350"
"172","10000","#AF0B0B","10000"
"173","5800","#076969","5800"
"174","1000","#AF550B","1000"
"175","300","#098C09","300"
"176","10000","#AF0B0B","10000"
"177","5850","#076969","5850"
"178","1000","#AF550B","1000"
"179","300","#098C09","300"
"180","10000","#AF0B0B","10000"
"181","4800","#076969","4800"
"182","1000","#AF550B","1000"
"183","350","#098C09","350"
"184","10000","#AF0B0B","10000"
"185","4800","#076969","4800"
"186","1050","#AF550B","1050"
"187","300","#098C09","300"
"188","10000","#AF0B0B","10000"
"189","4850","#076969","4850"
"190","1000","#AF550B","1000"
"191","150","#098C09","150"
