"count","time","lineColor","label"
"243","50","","50"
"244","1300","#AF0B0B","1300"
"245","10000","#076969","10000"
"246","4800","#AF550B","4800"
"247","1000","#098C09","1000"
"248","350","#AF0B0B","350"
"249","10000","#076969","10000"
"250","4800","#AF550B","4800"
"251","1000","#098C09","1000"
"252","350","#AF0B0B","350"
"253","10000","#076969","10000"
"254","4800","#AF550B","4800"
"255","1000","#098C09","1000"
"256","350","#AF0B0B","350"
"257","10000","#076969","10000"
"258","4850","#AF550B","4850"
"259","1000","#098C09","1000"
"260","300","#AF0B0B","300"
"261","10000","#076969","10000"
"262","4800","#AF550B","4800"
"263","1050","#098C09","1050"
"264","300","#AF0B0B","300"
"265","10000","#076969","10000"
"266","4800","#AF550B","4800"
"267","1050","#098C09","1050"
"268","300","#AF0B0B","300"
"269","1800","#076969","1800"
