"count","time","lineColor","label"
"187","50","","50"
"188","1300","#AF0B0B","1300"
"189","10000","#076969","10000"
"190","6800","#AF550B","6800"
"191","1000","#098C09","1000"
"192","300","#AF0B0B","300"
"193","10000","#076969","10000"
"194","4750","#AF550B","4750"
"195","1050","#098C09","1050"
"196","300","#AF0B0B","300"
"197","10000","#076969","10000"
"198","4800","#AF550B","4800"
"199","1000","#098C09","1000"
"200","300","#AF0B0B","300"
"201","10000","#076969","10000"
"202","4450","#AF550B","4450"
"203","1050","#098C09","1050"
"204","300","#AF0B0B","300"
"205","10000","#076969","10000"
"206","4450","#AF550B","4450"
"207","1050","#098C09","1050"
"208","300","#AF0B0B","300"
"209","10000","#076969","10000"
"210","4350","#AF550B","4350"
"211","1000","#098C09","1000"
"212","350","#AF0B0B","350"
"213","1150","#076969","1150"
