"count","time","lineColor","label"
"80","50","","50"
"81","1250","#AF0B0B","1250"
"82","10000","#076969","10000"
"83","4350","#AF550B","4350"
"84","1000","#098C09","1000"
"85","300","#AF0B0B","300"
"86","10000","#076969","10000"
"87","4350","#AF550B","4350"
"88","1000","#098C09","1000"
"89","300","#AF0B0B","300"
"90","10000","#076969","10000"
"91","4800","#AF550B","4800"
"92","1000","#098C09","1000"
"93","300","#AF0B0B","300"
"94","10000","#076969","10000"
"95","4750","#AF550B","4750"
"96","1050","#098C09","1050"
"97","300","#AF0B0B","300"
"98","10000","#076969","10000"
"99","4450","#AF550B","4450"
"100","1050","#098C09","1050"
"101","300","#AF0B0B","300"
"102","10000","#076969","10000"
"103","4300","#AF550B","4300"
"104","1000","#098C09","1000"
"105","300","#AF0B0B","300"
"106","3850","#076969","3850"
