"count","time","lineColor","label"
"107","50","","50"
"108","10250","#AF0B0B","10250"
"109","4450","#076969","4450"
"110","1000","#AF550B","1000"
"111","300","#098C09","300"
"112","10000","#AF0B0B","10000"
"113","4300","#076969","4300"
"114","1000","#AF550B","1000"
"115","300","#098C09","300"
"116","10000","#AF0B0B","10000"
"117","4350","#076969","4350"
"118","1000","#AF550B","1000"
"119","300","#098C09","300"
"120","10000","#AF0B0B","10000"
"121","4400","#076969","4400"
"122","1050","#AF550B","1050"
"123","250","#098C09","250"
"124","10000","#AF0B0B","10000"
"125","4350","#076969","4350"
"126","1050","#AF550B","1050"
"127","300","#098C09","300"
"128","10000","#AF0B0B","10000"
"129","4300","#076969","4300"
"130","1050","#AF550B","1050"
"131","300","#098C09","300"
"132","5700","#AF0B0B","5700"
