"count","volt","lineColor"
"0","3197","#AF0B0B"
"50","3195","#AF0B0B"
"100","3198","#AF0B0B"
"150","3197","#AF0B0B"
"200","3196","#AF0B0B"
"250","3186","#AF0B0B"
"300","3197","#AF0B0B"
"350","3196","#AF0B0B"
"400","3191","#AF0B0B"
"450","3199","#AF0B0B"
"500","3198","#AF0B0B"
"550","3196","#AF0B0B"
"600","3199","#AF0B0B"
"650","3198","#AF0B0B"
"700","3197","#AF0B0B"
"750","3199","#AF0B0B"
"800","3198","#AF0B0B"
"850","3198","#AF0B0B"
"900","3194","#AF0B0B"
"950","3195","#AF0B0B"
"1000","3191","#AF0B0B"
"1050","3190","#AF0B0B"
"1100","3192","#AF0B0B"
"1150","3191","#AF0B0B"
"1200","3191","#AF0B0B"
"1250","3183","#076969"
"1300","3255","#076969"
"1350","3255","#076969"
"1400","3256","#076969"
"1450","3255","#076969"
"1500","3255","#076969"
"1550","3255","#076969"
"1600","3255","#076969"
"1650","3255","#076969"
"1700","3256","#076969"
"1750","3255","#076969"
"1800","3255","#076969"
"1850","3255","#076969"
"1900","3254","#076969"
"1950","3255","#076969"
"2000","3255","#076969"
"2050","3255","#076969"
"2100","3255","#076969"
"2150","3255","#076969"
"2200","3255","#076969"
"2250","3255","#076969"
"2300","3255","#076969"
"2350","3256","#076969"
"2400","3256","#076969"
"2450","3255","#076969"
"2500","3256","#076969"
"2550","3255","#076969"
"2600","3254","#076969"
"2650","3256","#076969"
"2700","3255","#076969"
"2750","3255","#076969"
"2800","3255","#076969"
"2850","3255","#076969"
"2900","3255","#076969"
"2950","3255","#076969"
"3000","3255","#076969"
"3050","3255","#076969"
"3100","3255","#076969"
"3150","3255","#076969"
"3200","3256","#076969"
"3250","3255","#076969"
"3300","3255","#076969"
"3350","3255","#076969"
"3400","3255","#076969"
"3450","3255","#076969"
"3500","3255","#076969"
"3550","3255","#076969"
"3600","3255","#076969"
"3650","3256","#076969"
"3700","3255","#076969"
"3750","3256","#076969"
"3800","3255","#076969"
"3850","3256","#076969"
"3900","3256","#076969"
"3950","3255","#076969"
"4000","3256","#076969"
"4050","3255","#076969"
"4100","3255","#076969"
"4150","3255","#076969"
"4200","3255","#076969"
"4250","3255","#076969"
"4300","3255","#076969"
"4350","3255","#076969"
"4400","3256","#076969"
"4450","3255","#076969"
"4500","3255","#076969"
"4550","3255","#076969"
"4600","3255","#076969"
"4650","3255","#076969"
"4700","3255","#076969"
"4750","3255","#076969"
"4800","3256","#076969"
"4850","3255","#076969"
"4900","3255","#076969"
"4950","3255","#076969"
"5000","3255","#076969"
"5050","3255","#076969"
"5100","3254","#076969"
"5150","3255","#076969"
"5200","3255","#076969"
"5250","3255","#076969"
"5300","3255","#076969"
"5350","3255","#076969"
"5400","3255","#076969"
"5450","3255","#076969"
"5500","3255","#076969"
"5550","3255","#076969"
"5600","3255","#076969"
"5650","3256","#076969"
"5700","3255","#076969"
"5750","3255","#076969"
"5800","3255","#076969"
"5850","3255","#076969"
"5900","3255","#076969"
"5950","3255","#076969"
