"count","time","lineColor","label"
"160","50","","50"
"161","5400","#AF0B0B","5400"
"162","300","#076969","300"
"163","10000","#AF550B","10000"
"164","4450","#098C09","4450"
"165","1050","#AF0B0B","1050"
"166","300","#076969","300"
"167","10000","#AF550B","10000"
"168","4500","#098C09","4500"
"169","1050","#AF0B0B","1050"
"170","300","#076969","300"
"171","10000","#AF550B","10000"
"172","4300","#098C09","4300"
"173","1050","#AF0B0B","1050"
"174","300","#076969","300"
"175","10000","#AF550B","10000"
"176","4300","#098C09","4300"
"177","1050","#AF0B0B","1050"
"178","300","#076969","300"
"179","10000","#AF550B","10000"
"180","4500","#098C09","4500"
"181","1000","#AF0B0B","1000"
"182","300","#076969","300"
"183","10000","#AF550B","10000"
"184","4350","#098C09","4350"
"185","1000","#AF0B0B","1000"
"186","200","#076969","200"
