"count","time","lineColor","label"
"1","5400","#AF0B0B","5400"
"2","250","#076969","250"
"3","10050","#AF550B","10050"
"4","4400","#098C09","4400"
"5","1000","#AF0B0B","1000"
"6","300","#076969","300"
"7","10000","#AF550B","10000"
"8","4400","#098C09","4400"
"9","1000","#AF0B0B","1000"
"10","300","#076969","300"
"11","10000","#AF550B","10000"
"12","4400","#098C09","4400"
"13","1000","#AF0B0B","1000"
"14","300","#076969","300"
"15","10000","#AF550B","10000"
"16","4300","#098C09","4300"
"17","1000","#AF0B0B","1000"
"18","300","#076969","300"
"19","10000","#AF550B","10000"
"20","4400","#098C09","4400"
"21","1000","#AF0B0B","1000"
"22","300","#076969","300"
"23","10000","#AF550B","10000"
"24","4400","#098C09","4400"
"25","1000","#AF0B0B","1000"
"26","300","#076969","300"
"27","200","#AF550B","200"
