"count","time","lineColor","label"
"240","50","","50"
"241","5800","#AF0B0B","5800"
"242","250","#076969","250"
"243","10000","#AF550B","10000"
"244","4350","#098C09","4350"
"245","1000","#AF0B0B","1000"
"246","300","#076969","300"
"247","10000","#AF550B","10000"
"248","4350","#098C09","4350"
"249","1050","#AF0B0B","1050"
"250","300","#076969","300"
"251","10000","#AF550B","10000"
"252","4350","#098C09","4350"
"253","1000","#AF0B0B","1000"
"254","350","#076969","350"
"255","10000","#AF550B","10000"
"256","4350","#098C09","4350"
"257","1000","#AF0B0B","1000"
"258","300","#076969","300"
"259","10000","#AF550B","10000"
"260","4750","#098C09","4750"
"261","1050","#AF0B0B","1050"
"262","300","#076969","300"
"263","10000","#AF550B","10000"
"264","4800","#098C09","4800"
"265","350","#AF0B0B","350"
