"count","curr","lineColor"
"0","71.8","#AF0B0B"
"50","89.1","#AF0B0B"
"100","71.3","#AF0B0B"
"150","73.4","#AF0B0B"
"200","73.6","#AF0B0B"
"250","70.9","#AF0B0B"
"300","73.8","#AF0B0B"
"350","79.2","#AF0B0B"
"400","73.1","#AF0B0B"
"450","83","#AF0B0B"
"500","75.6","#AF0B0B"
"550","72.2","#AF0B0B"
"600","76.8","#AF0B0B"
"650","72.1","#AF0B0B"
"700","79.5","#AF0B0B"
"750","70.1","#AF0B0B"
"800","70.3","#AF0B0B"
"850","80.2","#AF0B0B"
"900","69.9","#AF0B0B"
"950","71.3","#AF0B0B"
"1000","73.4","#AF0B0B"
"1050","75.6","#AF0B0B"
"1100","74.8","#AF0B0B"
"1150","75.7","#AF0B0B"
"1200","75.8","#AF0B0B"
"1250","75.7","#AF0B0B"
"1300","79.3","#076969"
"1350","15.2","#076969"
"1400","15.1","#076969"
"1450","15.1","#076969"
"1500","15.1","#076969"
"1550","15.1","#076969"
"1600","15.1","#076969"
"1650","15.1","#076969"
"1700","15.1","#076969"
"1750","15.1","#076969"
"1800","15","#076969"
"1850","15.1","#076969"
"1900","15.1","#076969"
"1950","15.1","#076969"
"2000","15.1","#076969"
"2050","15.4","#076969"
"2100","15.1","#076969"
"2150","15.1","#076969"
"2200","15.1","#076969"
"2250","15.1","#076969"
"2300","14.9","#076969"
"2350","15.1","#076969"
"2400","15.1","#076969"
"2450","15","#076969"
"2500","15.1","#076969"
"2550","15","#076969"
"2600","15.1","#076969"
"2650","15.1","#076969"
"2700","15.1","#076969"
"2750","15.1","#076969"
"2800","15.1","#076969"
"2850","15.1","#076969"
"2900","15","#076969"
"2950","15.3","#076969"
"3000","15.1","#076969"
"3050","15","#076969"
"3100","15.1","#076969"
"3150","15","#076969"
"3200","15.1","#076969"
"3250","15.1","#076969"
"3300","15.1","#076969"
"3350","15","#076969"
"3400","15.1","#076969"
"3450","15.1","#076969"
"3500","15.1","#076969"
"3550","15.1","#076969"
"3600","15.1","#076969"
"3650","15.1","#076969"
"3700","15.4","#076969"
"3750","15.1","#076969"
"3800","15","#076969"
"3850","15.1","#076969"
"3900","16","#076969"
"3950","15.7","#076969"
"4000","15.9","#076969"
"4050","15.1","#076969"
"4100","14.9","#076969"
"4150","15","#076969"
"4200","15","#076969"
"4250","15.1","#076969"
"4300","15","#076969"
"4350","15.1","#076969"
"4400","15.1","#076969"
"4450","15.1","#076969"
"4500","15","#076969"
"4550","15","#076969"
"4600","15","#076969"
"4650","15","#076969"
"4700","15","#076969"
"4750","15.1","#076969"
"4800","15.1","#076969"
"4850","15","#076969"
"4900","15.1","#076969"
"4950","15","#076969"
"5000","15.1","#076969"
"5050","15.1","#076969"
"5100","15","#076969"
"5150","15.1","#076969"
"5200","15","#076969"
"5250","15.1","#076969"
"5300","15.1","#076969"
"5350","15.1","#076969"
"5400","15.1","#076969"
"5450","15.1","#076969"
"5500","15.1","#076969"
"5550","15.1","#076969"
"5600","15","#076969"
"5650","15","#076969"
"5700","15.1","#076969"
"5750","15.1","#076969"
"5800","15.1","#076969"
"5850","15","#076969"
"5900","15.1","#076969"
"5950","15.1","#076969"
"6000","15","#076969"
"6050","15","#076969"
"6100","15.1","#076969"
"6150","15.2","#076969"
"6200","15.1","#076969"
"6250","15.1","#076969"
"6300","15.1","#076969"
"6350","15","#076969"
