"count","time","lineColor","label"
"28","50","","50"
"29","1250","#AF0B0B","1250"
"30","10000","#076969","10000"
"31","4450","#AF550B","4450"
"32","1000","#098C09","1000"
"33","250","#AF0B0B","250"
"34","10000","#076969","10000"
"35","4450","#AF550B","4450"
"36","1000","#098C09","1000"
"37","300","#AF0B0B","300"
"38","10000","#076969","10000"
"39","4400","#AF550B","4400"
"40","1000","#098C09","1000"
"41","300","#AF0B0B","300"
"42","10000","#076969","10000"
"43","4400","#AF550B","4400"
"44","1000","#098C09","1000"
"45","300","#AF0B0B","300"
"46","10000","#076969","10000"
"47","4300","#AF550B","4300"
"48","1050","#098C09","1050"
"49","300","#AF0B0B","300"
"50","10000","#076969","10000"
"51","4800","#AF550B","4800"
"52","1050","#098C09","1050"
"53","300","#AF0B0B","300"
"54","4100","#076969","4100"
