"count","time","lineColor","label"
"293","50","","50"
"294","10250","#AF0B0B","10250"
"295","4800","#076969","4800"
"296","1050","#AF550B","1050"
"297","300","#098C09","300"
"298","10000","#AF0B0B","10000"
"299","4750","#076969","4750"
"300","1050","#AF550B","1050"
"301","300","#098C09","300"
"302","10000","#AF0B0B","10000"
"303","4400","#076969","4400"
"304","1000","#AF550B","1000"
"305","300","#098C09","300"
"306","10000","#AF0B0B","10000"
"307","4750","#076969","4750"
"308","1000","#AF550B","1000"
"309","300","#098C09","300"
"310","10000","#AF0B0B","10000"
"311","4800","#076969","4800"
"312","1000","#AF550B","1000"
"313","300","#098C09","300"
"314","10000","#AF0B0B","10000"
"315","4450","#076969","4450"
"316","1000","#AF550B","1000"
"317","350","#098C09","350"
"318","3850","#AF0B0B","3850"
