"count","time","lineColor","label"
"266","50","","50"
"267","1300","#AF0B0B","1300"
"268","10000","#076969","10000"
"269","4800","#AF550B","4800"
"270","1050","#098C09","1050"
"271","300","#AF0B0B","300"
"272","10000","#076969","10000"
"273","4750","#AF550B","4750"
"274","1050","#098C09","1050"
"275","300","#AF0B0B","300"
"276","10000","#076969","10000"
"277","4800","#AF550B","4800"
"278","1000","#098C09","1000"
"279","350","#AF0B0B","350"
"280","10000","#076969","10000"
"281","4750","#AF550B","4750"
"282","1000","#098C09","1000"
"283","300","#AF0B0B","300"
"284","10000","#076969","10000"
"285","4500","#AF550B","4500"
"286","1000","#098C09","1000"
"287","300","#AF0B0B","300"
"288","10000","#076969","10000"
"289","4750","#AF550B","4750"
"290","1050","#098C09","1050"
"291","300","#AF0B0B","300"
"292","2350","#076969","2350"
