"count","pow","lineColor"
"0","253.4","#AF0B0B"
"50","223.1","#AF0B0B"
"100","221.7","#AF0B0B"
"150","238.3","#AF0B0B"
"200","221.5","#AF0B0B"
"250","223","#AF0B0B"
"300","225.8","#AF0B0B"
"350","223.1","#AF0B0B"
"400","229.5","#AF0B0B"
"450","228.2","#AF0B0B"
"500","224.8","#AF0B0B"
"550","225.3","#AF0B0B"
"600","227.2","#AF0B0B"
"650","222.7","#AF0B0B"
"700","224.6","#AF0B0B"
"750","221","#AF0B0B"
"800","222.4","#AF0B0B"
"850","223.4","#AF0B0B"
"900","226.6","#AF0B0B"
"950","223.3","#AF0B0B"
"1000","237.8","#AF0B0B"
"1050","245.1","#AF0B0B"
"1100","243.9","#AF0B0B"
"1150","245.9","#AF0B0B"
"1200","247.9","#AF0B0B"
"1250","244.4","#AF0B0B"
"1300","69.4","#076969"
"1350","52.2","#076969"
"1400","52.2","#076969"
"1450","52.2","#076969"
"1500","52.2","#076969"
"1550","52.2","#076969"
"1600","52.2","#076969"
"1650","52.2","#076969"
"1700","52.2","#076969"
"1750","52.2","#076969"
"1800","51.9","#076969"
"1850","52.2","#076969"
"1900","52.2","#076969"
"1950","51.9","#076969"
"2000","51.8","#076969"
"2050","51.9","#076969"
"2100","51.9","#076969"
"2150","51.9","#076969"
"2200","51.9","#076969"
"2250","52.2","#076969"
"2300","51.9","#076969"
"2350","51.9","#076969"
"2400","52.2","#076969"
"2450","51.9","#076969"
"2500","52.2","#076969"
"2550","52.2","#076969"
"2600","52.5","#076969"
"2650","51.8","#076969"
"2700","52.2","#076969"
"2750","52.2","#076969"
"2800","52.2","#076969"
"2850","52.2","#076969"
"2900","52.2","#076969"
"2950","51.9","#076969"
"3000","52.2","#076969"
"3050","51.9","#076969"
"3100","51.9","#076969"
"3150","52.2","#076969"
"3200","51.9","#076969"
"3250","51.9","#076969"
"3300","52.2","#076969"
"3350","52.2","#076969"
"3400","51.9","#076969"
"3450","51.9","#076969"
"3500","51.9","#076969"
"3550","51.9","#076969"
"3600","51.8","#076969"
"3650","51.9","#076969"
"3700","51.8","#076969"
"3750","51.8","#076969"
"3800","52.2","#076969"
"3850","51.9","#076969"
"3900","51.9","#076969"
"3950","51.9","#076969"
"4000","51.8","#076969"
"4050","51.9","#076969"
"4100","51.9","#076969"
"4150","52.2","#076969"
"4200","51.8","#076969"
"4250","52.2","#076969"
"4300","51.9","#076969"
"4350","51.9","#076969"
"4400","51.8","#076969"
"4450","51.8","#076969"
"4500","51.8","#076969"
"4550","51.9","#076969"
"4600","51.9","#076969"
"4650","51.9","#076969"
"4700","51.9","#076969"
"4750","51.9","#076969"
"4800","51.9","#076969"
"4850","51.9","#076969"
"4900","52.2","#076969"
"4950","52.2","#076969"
"5000","51.5","#076969"
"5050","51.9","#076969"
"5100","52.2","#076969"
"5150","51.9","#076969"
"5200","51.9","#076969"
"5250","51.9","#076969"
