"count","volt","lineColor"
"0","3125","#AF0B0B"
"50","3147","#AF0B0B"
"100","3145","#AF0B0B"
"150","3149","#AF0B0B"
"200","3147","#AF0B0B"
"250","3146","#AF0B0B"
"300","3146","#AF0B0B"
"350","3148","#AF0B0B"
"400","3140","#AF0B0B"
"450","3148","#AF0B0B"
"500","3145","#AF0B0B"
"550","3143","#AF0B0B"
"600","3147","#AF0B0B"
"650","3146","#AF0B0B"
"700","3142","#AF0B0B"
"750","3149","#AF0B0B"
"800","3147","#AF0B0B"
"850","3143","#AF0B0B"
"900","3148","#AF0B0B"
"950","3146","#AF0B0B"
"1000","3138","#AF0B0B"
"1050","3135","#AF0B0B"
"1100","3135","#AF0B0B"
"1150","3133","#AF0B0B"
"1200","3135","#AF0B0B"
"1250","3134","#AF0B0B"
"1300","3232","#076969"
"1350","3244","#076969"
"1400","3245","#076969"
"1450","3245","#076969"
"1500","3243","#076969"
"1550","3245","#076969"
"1600","3245","#076969"
"1650","3245","#076969"
"1700","3247","#076969"
"1750","3243","#076969"
"1800","3245","#076969"
"1850","3244","#076969"
"1900","3245","#076969"
"1950","3244","#076969"
"2000","3243","#076969"
"2050","3244","#076969"
"2100","3245","#076969"
"2150","3244","#076969"
"2200","3245","#076969"
"2250","3244","#076969"
"2300","3244","#076969"
"2350","3245","#076969"
"2400","3246","#076969"
"2450","3245","#076969"
"2500","3245","#076969"
"2550","3244","#076969"
"2600","3244","#076969"
"2650","3243","#076969"
"2700","3243","#076969"
"2750","3245","#076969"
"2800","3244","#076969"
"2850","3245","#076969"
"2900","3244","#076969"
"2950","3244","#076969"
"3000","3245","#076969"
"3050","3244","#076969"
"3100","3244","#076969"
"3150","3243","#076969"
"3200","3244","#076969"
"3250","3246","#076969"
"3300","3245","#076969"
"3350","3244","#076969"
"3400","3244","#076969"
"3450","3244","#076969"
"3500","3244","#076969"
"3550","3245","#076969"
"3600","3243","#076969"
"3650","3244","#076969"
"3700","3243","#076969"
"3750","3243","#076969"
"3800","3244","#076969"
"3850","3244","#076969"
"3900","3244","#076969"
"3950","3244","#076969"
"4000","3243","#076969"
"4050","3245","#076969"
"4100","3244","#076969"
"4150","3244","#076969"
"4200","3243","#076969"
"4250","3244","#076969"
"4300","3244","#076969"
"4350","3245","#076969"
"4400","3243","#076969"
"4450","3243","#076969"
"4500","3243","#076969"
"4550","3244","#076969"
"4600","3246","#076969"
"4650","3244","#076969"
"4700","3244","#076969"
"4750","3245","#076969"
"4800","3244","#076969"
"4850","3244","#076969"
"4900","3243","#076969"
"4950","3243","#076969"
"5000","3244","#076969"
"5050","3244","#076969"
"5100","3244","#076969"
"5150","3245","#076969"
"5200","3244","#076969"
"5250","3245","#076969"
"5300","3246","#076969"
"5350","3245","#076969"
"5400","3244","#076969"
"5450","3243","#076969"
"5500","3244","#076969"
"5550","3245","#076969"
"5600","3243","#076969"
"5650","3243","#076969"
"5700","3245","#076969"
"5750","3244","#076969"
"5800","3244","#076969"
"5850","3244","#076969"
"5900","3243","#076969"
"5950","3244","#076969"
"6000","3244","#076969"
"6050","3245","#076969"
"6100","3243","#076969"
"6150","3243","#076969"
"6200","3244","#076969"
"6250","3243","#076969"
"6300","3244","#076969"
"6350","3244","#076969"
"6400","3244","#076969"
