"count","curr","lineColor"
"0","58.6","#098C09"
"50","58.8","#098C09"
"100","58.7","#098C09"
"150","58.7","#098C09"
"200","58.8","#098C09"
"250","58.8","#098C09"
"300","58.7","#098C09"
"350","58.8","#098C09"
"400","58.8","#098C09"
"450","59.7","#098C09"
"500","58.8","#098C09"
"550","59.2","#098C09"
"600","58.8","#098C09"
"650","58.9","#098C09"
"700","58.9","#098C09"
"750","59.1","#098C09"
"800","45.7","#AF0B0B"
"850","168.2","#AF0B0B"
"900","78.3","#AF0B0B"
"950","72.3","#AF0B0B"
"1000","73.6","#AF0B0B"
"1050","76.8","#076969"
"1100","76.5","#076969"
"1150","76","#076969"
"1200","76.5","#076969"
"1250","76.2","#076969"
"1300","76.6","#076969"
"1350","76.2","#076969"
"1400","76.5","#076969"
"1450","76.9","#076969"
"1500","76.3","#076969"
"1550","76.4","#076969"
"1600","76.5","#076969"
"1650","76.1","#076969"
"1700","71.7","#076969"
"1750","69.6","#076969"
"1800","69.2","#076969"
"1850","69.9","#076969"
"1900","69.6","#076969"
"1950","69.4","#076969"
"2000","71.4","#076969"
"2050","69.6","#076969"
"2100","69.3","#076969"
"2150","79.9","#076969"
"2200","69.3","#076969"
"2250","69.1","#076969"
"2300","77.6","#076969"
"2350","69.3","#076969"
"2400","69.3","#076969"
"2450","69.4","#076969"
"2500","69.3","#076969"
"2550","69.3","#076969"
"2600","69.5","#076969"
"2650","69.4","#076969"
"2700","69.6","#076969"
"2750","69.4","#076969"
"2800","69.5","#076969"
"2850","69.7","#076969"
"2900","69.3","#076969"
"2950","69.6","#076969"
"3000","69.7","#076969"
"3050","69.1","#076969"
"3100","73.2","#076969"
"3150","68.7","#076969"
"3200","76.5","#076969"
"3250","69.7","#076969"
"3300","69.3","#076969"
"3350","77.5","#076969"
"3400","68.9","#076969"
"3450","69.3","#076969"
"3500","76.9","#076969"
"3550","69.3","#076969"
"3600","69.3","#076969"
"3650","79.6","#076969"
"3700","69.4","#076969"
"3750","69.4","#076969"
"3800","72.2","#076969"
"3850","77.9","#076969"
"3900","77.6","#076969"
"3950","78.1","#076969"
"4000","77.4","#076969"
"4050","78","#076969"
"4100","77.6","#076969"
"4150","78","#076969"
"4200","77.9","#076969"
"4250","77.9","#076969"
"4300","77.4","#076969"
"4350","77.8","#076969"
"4400","78.1","#076969"
"4450","77.8","#076969"
"4500","77.3","#076969"
"4550","77.8","#076969"
"4600","77.5","#076969"
"4650","77.9","#076969"
"4700","76.7","#076969"
"4750","76.4","#076969"
"4800","76.5","#076969"
"4850","154.5","#076969"
"4900","97.3","#076969"
"4950","69.9","#076969"
"5000","69.6","#076969"
"5050","67.2","#076969"
"5100","69.5","#076969"
"5150","68.8","#076969"
"5200","69.6","#076969"
"5250","69.5","#076969"
"5300","69.7","#076969"
"5350","69.7","#076969"
"5400","69.9","#076969"
"5450","77.4","#AF550B"
"5500","78.4","#AF550B"
"5550","91.6","#AF550B"
"5600","85.8","#AF550B"
"5650","79.3","#AF550B"
"5700","89.1","#AF550B"
"5750","89.9","#AF550B"
"5800","75.1","#AF550B"
"5850","84","#AF550B"
"5900","88.4","#AF550B"
"5950","78.1","#AF550B"
"6000","86.2","#AF550B"
"6050","74.6","#AF550B"
"6100","78.1","#AF550B"
"6150","76.5","#AF550B"
"6200","77.2","#AF550B"
"6250","70.2","#AF550B"
"6300","76.6","#AF550B"
"6350","71.6","#AF550B"
"6400","78.5","#AF550B"
"6450","84.7","#098C09"
"6500","76.1","#098C09"
"6550","76.1","#098C09"
"6600","76.2","#098C09"
"6650","76","#098C09"
"6700","75.9","#098C09"
"6750","62.6","#AF0B0B"
"6800","15.5","#AF0B0B"
"6850","15.1","#AF0B0B"
"6900","15.2","#AF0B0B"
"6950","15.1","#AF0B0B"
"7000","15.1","#AF0B0B"
"7050","15.1","#AF0B0B"
"7100","15.8","#AF0B0B"
"7150","15.1","#AF0B0B"
"7200","15.1","#AF0B0B"
"7250","15.1","#AF0B0B"
"7300","15.1","#AF0B0B"
"7350","15","#AF0B0B"
"7400","15.1","#AF0B0B"
"7450","15","#AF0B0B"
"7500","15.1","#AF0B0B"
"7550","15","#AF0B0B"
"7600","15.1","#AF0B0B"
"7650","15.1","#AF0B0B"
"7700","15.1","#AF0B0B"
"7750","15.1","#AF0B0B"
"7800","15.1","#AF0B0B"
"7850","15","#AF0B0B"
"7900","15.1","#AF0B0B"
"7950","15","#AF0B0B"
"8000","15","#AF0B0B"
"8050","15.1","#AF0B0B"
"8100","15.3","#AF0B0B"
"8150","15","#AF0B0B"
"8200","15","#AF0B0B"
"8250","15","#AF0B0B"
"8300","15","#AF0B0B"
"8350","15.1","#AF0B0B"
"8400","15","#AF0B0B"
"8450","15","#AF0B0B"
"8500","15.2","#AF0B0B"
"8550","15.1","#AF0B0B"
"8600","15.1","#AF0B0B"
"8650","15","#AF0B0B"
"8700","15","#AF0B0B"
"8750","15.1","#AF0B0B"
"8800","15","#AF0B0B"
"8850","15.1","#AF0B0B"
"8900","15.1","#AF0B0B"
"8950","15.1","#AF0B0B"
"9000","15","#AF0B0B"
"9050","15.1","#AF0B0B"
"9100","15","#AF0B0B"
"9150","15.1","#AF0B0B"
"9200","15","#AF0B0B"
"9250","15","#AF0B0B"
"9300","15.1","#AF0B0B"
"9350","15","#AF0B0B"
"9400","15","#AF0B0B"
"9450","15.1","#AF0B0B"
"9500","15","#AF0B0B"
"9550","15","#AF0B0B"
"9600","15","#AF0B0B"
"9650","15","#AF0B0B"
"9700","15.1","#AF0B0B"
"9750","15.1","#AF0B0B"
"9800","15","#AF0B0B"
"9850","15","#AF0B0B"
"9900","15","#AF0B0B"
"9950","15.1","#AF0B0B"
"10000","15","#AF0B0B"
