"count","volt","lineColor"
"0","3067","#AF0B0B"
"50","3072","#AF0B0B"
"100","3100","#AF0B0B"
"150","3100","#AF0B0B"
"200","3088","#AF0B0B"
"250","3095","#AF0B0B"
"300","3096","#AF0B0B"
"350","3091","#AF0B0B"
"400","3100","#AF0B0B"
"450","3090","#AF0B0B"
"500","3104","#AF0B0B"
"550","3087","#AF0B0B"
"600","3077","#AF0B0B"
"650","3103","#AF0B0B"
"700","3106","#AF0B0B"
"750","3097","#AF0B0B"
"800","3102","#AF0B0B"
"850","3108","#AF0B0B"
"900","3097","#AF0B0B"
"950","3089","#AF0B0B"
"1000","3096","#AF0B0B"
"1050","3089","#AF0B0B"
"1100","3091","#AF0B0B"
"1150","3089","#AF0B0B"
"1200","3092","#AF0B0B"
"1250","3081","#076969"
"1300","3231","#076969"
"1350","3235","#076969"
"1400","3235","#076969"
"1450","3235","#076969"
"1500","3235","#076969"
"1550","3235","#076969"
"1600","3236","#076969"
"1650","3236","#076969"
"1700","3236","#076969"
"1750","3235","#076969"
"1800","3235","#076969"
"1850","3235","#076969"
"1900","3235","#076969"
"1950","3235","#076969"
"2000","3235","#076969"
"2050","3235","#076969"
"2100","3235","#076969"
"2150","3235","#076969"
"2200","3235","#076969"
"2250","3235","#076969"
"2300","3235","#076969"
"2350","3235","#076969"
"2400","3235","#076969"
"2450","3235","#076969"
"2500","3236","#076969"
"2550","3236","#076969"
"2600","3235","#076969"
"2650","3235","#076969"
"2700","3236","#076969"
"2750","3235","#076969"
"2800","3235","#076969"
"2850","3235","#076969"
"2900","3235","#076969"
"2950","3235","#076969"
"3000","3235","#076969"
"3050","3235","#076969"
"3100","3235","#076969"
"3150","3235","#076969"
"3200","3235","#076969"
"3250","3235","#076969"
"3300","3235","#076969"
"3350","3235","#076969"
"3400","3235","#076969"
"3450","3235","#076969"
"3500","3235","#076969"
"3550","3235","#076969"
"3600","3235","#076969"
"3650","3235","#076969"
"3700","3235","#076969"
"3750","3235","#076969"
"3800","3235","#076969"
"3850","3235","#076969"
"3900","3236","#076969"
"3950","3235","#076969"
"4000","3235","#076969"
"4050","3235","#076969"
"4100","3235","#076969"
"4150","3235","#076969"
"4200","3235","#076969"
"4250","3235","#076969"
"4300","3235","#076969"
"4350","3235","#076969"
"4400","3234","#076969"
"4450","3235","#076969"
"4500","3236","#076969"
"4550","3235","#076969"
"4600","3235","#076969"
"4650","3235","#076969"
"4700","3235","#076969"
"4750","3235","#076969"
"4800","3236","#076969"
"4850","3235","#076969"
"4900","3235","#076969"
"4950","3235","#076969"
"5000","3235","#076969"
"5050","3235","#076969"
"5100","3235","#076969"
"5150","3235","#076969"
"5200","3235","#076969"
"5250","3235","#076969"
"5300","3235","#076969"
"5350","3235","#076969"
"5400","3235","#076969"
"5450","3236","#076969"
"5500","3235","#076969"
"5550","3235","#076969"
"5600","3235","#076969"
"5650","3235","#076969"
"5700","3235","#076969"
"5750","3235","#076969"
"5800","3235","#076969"
"5850","3235","#076969"
"5900","3235","#076969"
"5950","3235","#076969"
"6000","3235","#076969"
"6050","3236","#076969"
"6100","3235","#076969"
"6150","3235","#076969"
"6200","3235","#076969"
"6250","3235","#076969"
"6300","3235","#076969"
"6350","3235","#076969"
"6400","3235","#076969"
"6450","3235","#076969"
"6500","3235","#076969"
"6550","3235","#076969"
"6600","3236","#076969"
"6650","3235","#076969"
"6700","3235","#076969"
"6750","3235","#076969"
"6800","3235","#076969"
"6850","3235","#076969"
"6900","3233","#076969"
"6950","3235","#076969"
"7000","3235","#076969"
"7050","3235","#076969"
"7100","3235","#076969"
"7150","3235","#076969"
"7200","3235","#076969"
"7250","3235","#076969"
"7300","3235","#076969"
"7350","3236","#076969"
"7400","3235","#076969"
"7450","3235","#076969"
"7500","3235","#076969"
"7550","3235","#076969"
"7600","3235","#076969"
"7650","3236","#076969"
"7700","3235","#076969"
"7750","3235","#076969"
"7800","3236","#076969"
"7850","3235","#076969"
"7900","3236","#076969"
"7950","3236","#076969"
"8000","3235","#076969"
"8050","3235","#076969"
"8100","3236","#076969"
"8150","3237","#076969"
"8200","3235","#076969"
"8250","3235","#076969"
"8300","3235","#076969"
"8350","3235","#076969"
"8400","3235","#076969"
"8450","3236","#076969"
"8500","3235","#076969"
"8550","3235","#076969"
"8600","3235","#076969"
"8650","3235","#076969"
"8700","3235","#076969"
"8750","3235","#076969"
"8800","3235","#076969"
"8850","3236","#076969"
"8900","3235","#076969"
"8950","3235","#076969"
"9000","3235","#076969"
"9050","3235","#076969"
"9100","3235","#076969"
"9150","3235","#076969"
"9200","3235","#076969"
"9250","3235","#076969"
"9300","3235","#076969"
"9350","3235","#076969"
"9400","3235","#076969"
"9450","3235","#076969"
"9500","3235","#076969"
"9550","3235","#076969"
"9600","3235","#076969"
"9650","3235","#076969"
"9700","3235","#076969"
"9750","3235","#076969"
"9800","3236","#076969"
"9850","3236","#076969"
"9900","3235","#076969"
"9950","3235","#076969"
"10000","3235","#076969"
"10050","3236","#076969"
"10100","3235","#076969"
"10150","3235","#076969"
"10200","3234","#076969"
"10250","3235","#076969"
"10300","3235","#076969"
"10350","3235","#076969"
"10400","3235","#076969"
"10450","3235","#076969"
"10500","3235","#076969"
"10550","3235","#076969"
"10600","3235","#076969"
"10650","3235","#076969"
"10700","3235","#076969"
"10750","3235","#076969"
"10800","3235","#076969"
"10850","3235","#076969"
"10900","3235","#076969"
"10950","3235","#076969"
"11000","3235","#076969"
"11050","3235","#076969"
"11100","3235","#076969"
"11150","3235","#076969"
"11200","3235","#076969"
"11250","3235","#AF550B"
"11300","3091","#AF550B"
"11350","3092","#AF550B"
"11400","3091","#AF550B"
"11450","3094","#AF550B"
"11500","3091","#AF550B"
"11550","3090","#AF550B"
"11600","3091","#AF550B"
"11650","3092","#AF550B"
"11700","3088","#AF550B"
"11750","3086","#AF550B"
"11800","3091","#AF550B"
"11850","3084","#AF550B"
"11900","3111","#AF550B"
"11950","3110","#AF550B"
"12000","3112","#AF550B"
"12050","3112","#AF550B"
"12100","3111","#AF550B"
"12150","3112","#AF550B"
"12200","3111","#AF550B"
"12250","3112","#AF550B"
"12300","3111","#AF550B"
"12350","3111","#AF550B"
"12400","3110","#AF550B"
"12450","3111","#AF550B"
"12500","3111","#AF550B"
"12550","3110","#AF550B"
"12600","3111","#AF550B"
"12650","3111","#AF550B"
"12700","3111","#AF550B"
"12750","3109","#AF550B"
"12800","3113","#AF550B"
"12850","3114","#AF550B"
"12900","3105","#AF550B"
"12950","3110","#AF550B"
"13000","3111","#AF550B"
"13050","3103","#AF550B"
"13100","3111","#AF550B"
"13150","3110","#AF550B"
"13200","3086","#AF550B"
"13250","3111","#AF550B"
"13300","3111","#AF550B"
"13350","3072","#AF550B"
"13400","3112","#AF550B"
"13450","3113","#AF550B"
"13500","3071","#AF550B"
"13550","3111","#AF550B"
"13600","3111","#AF550B"
"13650","3110","#AF550B"
"13700","3113","#AF550B"
"13750","3114","#AF550B"
"13800","3112","#AF550B"
"13850","3111","#AF550B"
"13900","3113","#AF550B"
"13950","3110","#AF550B"
"14000","3094","#AF550B"
"14050","3095","#AF550B"
"14100","3095","#AF550B"
"14150","3095","#AF550B"
"14200","3095","#AF550B"
"14250","3095","#AF550B"
"14300","3094","#AF550B"
"14350","3095","#AF550B"
"14400","3094","#AF550B"
"14450","3095","#AF550B"
"14500","3094","#AF550B"
"14550","3095","#AF550B"
"14600","3096","#AF550B"
"14650","3094","#AF550B"
"14700","3095","#AF550B"
"14750","3094","#AF550B"
"14800","3095","#AF550B"
"14850","3091","#AF550B"
"14900","3088","#AF550B"
"14950","3093","#AF550B"
"15000","3040","#AF550B"
"15050","3111","#AF550B"
"15100","3027","#098C09"
"15150","3047","#098C09"
"15200","3019","#098C09"
"15250","3087","#098C09"
"15300","3103","#098C09"
"15350","3095","#098C09"
"15400","3087","#098C09"
"15450","3075","#098C09"
"15500","3091","#098C09"
"15550","3071","#098C09"
"15600","3064","#098C09"
"15650","3103","#098C09"
"15700","3096","#098C09"
"15750","3091","#098C09"
"15800","3102","#098C09"
"15850","3093","#098C09"
"15900","3104","#098C09"
"15950","3101","#098C09"
