"count","curr","lineColor"
"0","105.2","#AF0B0B"
"50","74.8","#AF0B0B"
"100","73.3","#AF0B0B"
"150","73","#AF0B0B"
"200","74.9","#AF0B0B"
"250","84.9","#AF0B0B"
"300","73.9","#AF0B0B"
"350","75.8","#AF0B0B"
"400","79.1","#AF0B0B"
"450","74.9","#AF0B0B"
"500","74.8","#AF0B0B"
"550","76.5","#AF0B0B"
"600","78.4","#AF0B0B"
"650","75.5","#AF0B0B"
"700","71.7","#AF0B0B"
"750","74.4","#AF0B0B"
"800","79.1","#AF0B0B"
"850","77.3","#AF0B0B"
"900","73.6","#AF0B0B"
"950","75.5","#AF0B0B"
"1000","76.1","#AF0B0B"
"1050","78.5","#AF0B0B"
"1100","78.3","#AF0B0B"
"1150","78.8","#AF0B0B"
"1200","78.3","#AF0B0B"
"1250","88.8","#076969"
"1300","17.8","#076969"
"1350","16","#076969"
"1400","16","#076969"
"1450","16","#076969"
"1500","16","#076969"
"1550","16","#076969"
"1600","16","#076969"
"1650","16","#076969"
"1700","16","#076969"
"1750","16","#076969"
"1800","16","#076969"
"1850","16","#076969"
"1900","15.9","#076969"
"1950","15.9","#076969"
"2000","16","#076969"
"2050","15.9","#076969"
"2100","16","#076969"
"2150","15.9","#076969"
"2200","16","#076969"
"2250","15.9","#076969"
"2300","16","#076969"
"2350","16","#076969"
"2400","15.9","#076969"
"2450","16","#076969"
"2500","15.9","#076969"
"2550","15.9","#076969"
"2600","16","#076969"
"2650","16","#076969"
"2700","15.9","#076969"
"2750","16","#076969"
"2800","15.9","#076969"
"2850","15.9","#076969"
"2900","15.9","#076969"
"2950","15.9","#076969"
"3000","16","#076969"
"3050","16","#076969"
"3100","16","#076969"
"3150","15.9","#076969"
"3200","16","#076969"
"3250","16","#076969"
"3300","15.9","#076969"
"3350","15.9","#076969"
"3400","15.9","#076969"
"3450","16","#076969"
"3500","15.9","#076969"
"3550","15.9","#076969"
"3600","15.9","#076969"
"3650","16","#076969"
"3700","16","#076969"
"3750","15.9","#076969"
"3800","16","#076969"
"3850","15.9","#076969"
"3900","15.9","#076969"
"3950","16","#076969"
"4000","15.9","#076969"
"4050","16","#076969"
"4100","16","#076969"
"4150","15.9","#076969"
"4200","15.9","#076969"
"4250","15.9","#076969"
"4300","15.9","#076969"
"4350","15.9","#076969"
"4400","16","#076969"
"4450","15.9","#076969"
"4500","15.9","#076969"
"4550","15.9","#076969"
"4600","16","#076969"
"4650","16","#076969"
"4700","15.9","#076969"
"4750","15.9","#076969"
"4800","15.9","#076969"
"4850","16","#076969"
"4900","15.9","#076969"
"4950","15.9","#076969"
"5000","15.9","#076969"
"5050","16","#076969"
"5100","16","#076969"
"5150","15.9","#076969"
"5200","16","#076969"
"5250","15.9","#076969"
"5300","16","#076969"
"5350","16","#076969"
"5400","15.9","#076969"
"5450","15.9","#076969"
"5500","16","#076969"
"5550","15.9","#076969"
"5600","16","#076969"
"5650","15.9","#076969"
"5700","16","#076969"
"5750","15.9","#076969"
"5800","15.9","#076969"
"5850","15.9","#076969"
"5900","16","#076969"
"5950","16","#076969"
"6000","16.1","#076969"
"6050","16","#076969"
"6100","16","#076969"
"6150","15.9","#076969"
"6200","15.9","#076969"
"6250","15.9","#076969"
"6300","15.9","#076969"
"6350","15.9","#076969"
"6400","16","#076969"
"6450","15.9","#076969"
"6500","15.9","#076969"
"6550","15.9","#076969"
"6600","15.9","#076969"
"6650","16","#076969"
"6700","15.9","#076969"
"6750","15.9","#076969"
"6800","15.9","#076969"
"6850","15.9","#076969"
"6900","16.1","#076969"
"6950","15.9","#076969"
"7000","15.9","#076969"
"7050","15.9","#076969"
"7100","15.9","#076969"
