"count","time","lineColor","label"
"263","50","","50"
"264","1250","#AF0B0B","1250"
"265","10000","#076969","10000"
"266","3850","#AF550B","3850"
"267","1000","#098C09","1000"
"268","300","#AF0B0B","300"
"269","10000","#076969","10000"
"270","3800","#AF550B","3800"
"271","1000","#098C09","1000"
"272","300","#AF0B0B","300"
"273","10000","#076969","10000"
"274","3850","#AF550B","3850"
"275","1000","#098C09","1000"
"276","300","#AF0B0B","300"
"277","10000","#076969","10000"
"278","3800","#AF550B","3800"
"279","1050","#098C09","1050"
"280","300","#AF0B0B","300"
"281","10000","#076969","10000"
"282","3800","#AF550B","3800"
"283","1050","#098C09","1050"
"284","300","#AF0B0B","300"
"285","10000","#076969","10000"
"286","3800","#AF550B","3800"
"287","1050","#098C09","1050"
"288","300","#AF0B0B","300"
"289","7900","#076969","7900"
