"count","pow","lineColor"
"0","322.6","#AF0B0B"
"50","229.7","#AF0B0B"
"100","227.2","#AF0B0B"
"150","226.3","#AF0B0B"
"200","231.2","#AF0B0B"
"250","262.7","#AF0B0B"
"300","228.7","#AF0B0B"
"350","234.2","#AF0B0B"
"400","245.2","#AF0B0B"
"450","231.4","#AF0B0B"
"500","232.1","#AF0B0B"
"550","236.1","#AF0B0B"
"600","241.2","#AF0B0B"
"650","234.2","#AF0B0B"
"700","222.7","#AF0B0B"
"750","230.4","#AF0B0B"
"800","245.3","#AF0B0B"
"850","240.2","#AF0B0B"
"900","227.9","#AF0B0B"
"950","233.2","#AF0B0B"
"1000","235.6","#AF0B0B"
"1050","242.4","#AF0B0B"
"1100","242","#AF0B0B"
"1150","243.4","#AF0B0B"
"1200","242.1","#AF0B0B"
"1250","273.5","#076969"
"1300","57.5","#076969"
"1350","51.7","#076969"
"1400","51.7","#076969"
"1450","51.7","#076969"
"1500","51.7","#076969"
"1550","51.7","#076969"
"1600","51.7","#076969"
"1650","51.7","#076969"
"1700","51.7","#076969"
"1750","51.7","#076969"
"1800","51.7","#076969"
"1850","51.7","#076969"
"1900","51.4","#076969"
"1950","51.4","#076969"
"2000","51.7","#076969"
"2050","51.4","#076969"
"2100","51.7","#076969"
"2150","51.4","#076969"
"2200","51.7","#076969"
"2250","51.4","#076969"
"2300","51.7","#076969"
"2350","51.7","#076969"
"2400","51.4","#076969"
"2450","51.7","#076969"
"2500","51.4","#076969"
"2550","51.4","#076969"
"2600","51.7","#076969"
"2650","51.7","#076969"
"2700","51.4","#076969"
"2750","51.7","#076969"
"2800","51.4","#076969"
"2850","51.4","#076969"
"2900","51.4","#076969"
"2950","51.4","#076969"
"3000","51.7","#076969"
"3050","51.7","#076969"
"3100","51.7","#076969"
"3150","51.4","#076969"
"3200","51.7","#076969"
"3250","51.7","#076969"
"3300","51.4","#076969"
"3350","51.4","#076969"
"3400","51.4","#076969"
"3450","51.7","#076969"
"3500","51.4","#076969"
"3550","51.4","#076969"
"3600","51.4","#076969"
"3650","51.7","#076969"
"3700","51.7","#076969"
"3750","51.4","#076969"
"3800","51.7","#076969"
"3850","51.4","#076969"
"3900","51.4","#076969"
"3950","51.7","#076969"
"4000","51.4","#076969"
"4050","51.7","#076969"
"4100","51.7","#076969"
"4150","51.4","#076969"
"4200","51.4","#076969"
"4250","51.4","#076969"
"4300","51.4","#076969"
"4350","51.4","#076969"
"4400","51.7","#076969"
"4450","51.4","#076969"
"4500","51.4","#076969"
"4550","51.4","#076969"
"4600","51.7","#076969"
"4650","51.7","#076969"
