"count","time","lineColor","label"
"45","50","","50"
"46","1300","#AF0B0B","1300"
"47","10000","#076969","10000"
"48","3800","#AF550B","3800"
"49","1050","#098C09","1050"
"50","250","#AF0B0B","250"
"51","10000","#076969","10000"
"52","3900","#AF550B","3900"
"53","1000","#098C09","1000"
"54","300","#AF0B0B","300"
"55","10000","#076969","10000"
"56","3850","#AF550B","3850"
"57","1050","#098C09","1050"
"58","300","#AF0B0B","300"
"59","10000","#076969","10000"
"60","3850","#AF550B","3850"
"61","1000","#098C09","1000"
"62","300","#AF0B0B","300"
"63","10000","#076969","10000"
"64","3850","#AF550B","3850"
"65","1000","#098C09","1000"
"66","300","#AF0B0B","300"
"67","10000","#076969","10000"
"68","7000","#AF550B","7000"
"69","1000","#098C09","1000"
"70","300","#AF0B0B","300"
"71","4600","#076969","4600"
