"count","pow","lineColor"
"0","241.3","#AF0B0B"
"50","267.9","#AF0B0B"
"100","344.2","#AF0B0B"
"150","235","#AF0B0B"
"200","233.9","#AF0B0B"
"250","257.9","#AF0B0B"
"300","229.2","#AF0B0B"
"350","237","#AF0B0B"
"400","270.6","#AF0B0B"
"450","233.4","#AF0B0B"
"500","229.6","#AF0B0B"
"550","226.9","#AF0B0B"
"600","226.5","#AF0B0B"
"650","231.3","#AF0B0B"
"700","227.2","#AF0B0B"
"750","255.8","#AF0B0B"
"800","255.9","#AF0B0B"
"850","225.9","#AF0B0B"
"900","226.8","#AF0B0B"
"950","231.3","#AF0B0B"
"1000","245.7","#AF0B0B"
"1050","244.8","#AF0B0B"
"1100","246","#AF0B0B"
"1150","245.2","#AF0B0B"
"1200","247.6","#AF0B0B"
"1250","305.2","#076969"
"1300","52.6","#076969"
"1350","52.2","#076969"
"1400","52.6","#076969"
"1450","52.2","#076969"
"1500","52.2","#076969"
"1550","52.2","#076969"
"1600","51.9","#076969"
"1650","51.9","#076969"
"1700","52.2","#076969"
"1750","52.2","#076969"
"1800","52.5","#076969"
"1850","51.9","#076969"
"1900","52.2","#076969"
"1950","51.9","#076969"
"2000","51.9","#076969"
"2050","51.9","#076969"
"2100","51.9","#076969"
"2150","51.9","#076969"
"2200","51.9","#076969"
"2250","52.2","#076969"
"2300","52.2","#076969"
"2350","51.9","#076969"
"2400","51.9","#076969"
"2450","52.2","#076969"
"2500","51.9","#076969"
"2550","51.9","#076969"
"2600","51.9","#076969"
"2650","51.9","#076969"
"2700","52.2","#076969"
"2750","51.9","#076969"
"2800","51.9","#076969"
"2850","51.9","#076969"
"2900","51.9","#076969"
"2950","51.9","#076969"
"3000","52.2","#076969"
"3050","51.6","#076969"
"3100","51.9","#076969"
"3150","51.9","#076969"
"3200","51.9","#076969"
"3250","51.9","#076969"
"3300","51.9","#076969"
"3350","52.2","#076969"
"3400","51.9","#076969"
"3450","49.3","#076969"
"3500","51.9","#076969"
"3550","52.2","#076969"
"3600","51.6","#076969"
"3650","51.9","#076969"
"3700","51.9","#076969"
"3750","51.9","#076969"
"3800","51.9","#076969"
"3850","51.6","#076969"
"3900","51.9","#076969"
"3950","51.9","#076969"
"4000","52.2","#076969"
"4050","52.2","#076969"
"4100","51.9","#076969"
"4150","51.9","#076969"
"4200","51.9","#076969"
"4250","51.9","#076969"
"4300","51.9","#076969"
"4350","51.9","#076969"
"4400","51.9","#076969"
"4450","51.9","#076969"
"4500","51.9","#076969"
"4550","52.2","#076969"
"4600","51.9","#076969"
"4650","51.9","#076969"
"4700","51.9","#076969"
"4750","51.8","#076969"
"4800","51.6","#076969"
"4850","51.9","#076969"
"4900","51.9","#076969"
"4950","51.9","#076969"
"5000","51.9","#076969"
"5050","51.9","#076969"
"5100","51.9","#076969"
"5150","51.9","#076969"
"5200","51.9","#076969"
"5250","51.9","#076969"
"5300","51.9","#076969"
"5350","52.2","#076969"
"5400","51.9","#076969"
"5450","51.9","#076969"
"5500","51.9","#076969"
"5550","51.9","#076969"
"5600","51.9","#076969"
"5650","51.9","#076969"
"5700","51.9","#076969"
"5750","51.9","#076969"
"5800","51.9","#076969"
"5850","51.9","#076969"
"5900","51.9","#076969"
"5950","51.9","#076969"
"6000","51.9","#076969"
"6050","51.9","#076969"
"6100","51.9","#076969"
"6150","51.9","#076969"
"6200","51.9","#076969"
"6250","51.9","#076969"
"6300","51.6","#076969"
"6350","51.9","#076969"
"6400","51.9","#076969"
"6450","51.9","#076969"
"6500","51.9","#076969"
"6550","51.9","#076969"
"6600","51.9","#076969"
"6650","51.9","#076969"
"6700","52.2","#076969"
"6750","51.9","#076969"
"6800","52.2","#076969"
"6850","51.9","#076969"
"6900","52.2","#076969"
"6950","51.9","#076969"
"7000","51.9","#076969"
"7050","51.9","#076969"
"7100","51.9","#076969"
"7150","51.9","#076969"
"7200","51.9","#076969"
"7250","51.9","#076969"
"7300","51.9","#076969"
"7350","51.9","#076969"
"7400","51.9","#076969"
"7450","51.9","#076969"
