"count","curr","lineColor"
"0","76","#AF0B0B"
"50","75","#AF0B0B"
"100","75.7","#AF0B0B"
"150","76.6","#AF0B0B"
"200","75.9","#AF0B0B"
"250","75.6","#AF0B0B"
"300","75.9","#AF0B0B"
"350","75.3","#AF0B0B"
"400","75.7","#AF0B0B"
"450","74.5","#AF0B0B"
"500","72.6","#AF0B0B"
"550","69.2","#AF0B0B"
"600","69.3","#AF0B0B"
"650","69.3","#AF0B0B"
"700","69.8","#AF0B0B"
"750","69.7","#AF0B0B"
"800","69","#AF0B0B"
"850","69.6","#AF0B0B"
"900","69.4","#AF0B0B"
"950","69.2","#AF0B0B"
"1000","68.9","#AF0B0B"
"1050","68.7","#AF0B0B"
"1100","69.4","#AF0B0B"
"1150","69.2","#AF0B0B"
"1200","69.1","#AF0B0B"
"1250","70.7","#AF0B0B"
"1300","69.5","#AF0B0B"
"1350","69.5","#AF0B0B"
"1400","76.4","#AF0B0B"
"1450","68.4","#AF0B0B"
"1500","68.8","#AF0B0B"
"1550","69.4","#AF0B0B"
"1600","68.9","#AF0B0B"
"1650","69.1","#AF0B0B"
"1700","69.2","#AF0B0B"
"1750","69.1","#AF0B0B"
"1800","69.2","#AF0B0B"
"1850","68.7","#AF0B0B"
"1900","68.4","#AF0B0B"
"1950","68.7","#AF0B0B"
"2000","69.5","#AF0B0B"
"2050","69.2","#AF0B0B"
"2100","69.4","#AF0B0B"
"2150","69.6","#AF0B0B"
"2200","69.3","#AF0B0B"
"2250","69.2","#AF0B0B"
"2300","69.2","#AF0B0B"
"2350","68.6","#AF0B0B"
"2400","68.8","#AF0B0B"
"2450","68.8","#AF0B0B"
"2500","69.4","#AF0B0B"
"2550","69.3","#AF0B0B"
"2600","71","#AF0B0B"
"2650","76.9","#AF0B0B"
"2700","77.3","#AF0B0B"
"2750","76.6","#AF0B0B"
"2800","77","#AF0B0B"
"2850","76.9","#AF0B0B"
"2900","77","#AF0B0B"
"2950","76.9","#AF0B0B"
"3000","77.2","#AF0B0B"
"3050","77.2","#AF0B0B"
"3100","77","#AF0B0B"
"3150","77","#AF0B0B"
"3200","76.6","#AF0B0B"
"3250","76.9","#AF0B0B"
"3300","77.1","#AF0B0B"
"3350","76.2","#AF0B0B"
"3400","77","#AF0B0B"
"3450","76.5","#AF0B0B"
"3500","76.2","#AF0B0B"
"3550","76","#AF0B0B"
"3600","75.7","#AF0B0B"
"3650","92.9","#AF0B0B"
"3700","68.3","#AF0B0B"
"3750","68.8","#AF0B0B"
"3800","68.8","#AF0B0B"
