"count","curr","lineColor"
"0","94.4","#AF0B0B"
"50","75.9","#AF0B0B"
"100","77.3","#AF0B0B"
"150","73.1","#AF0B0B"
"200","76.1","#AF0B0B"
"250","71.6","#AF0B0B"
"300","71.2","#AF0B0B"
"350","73.2","#AF0B0B"
"400","77.6","#AF0B0B"
"450","72.6","#AF0B0B"
"500","75.5","#AF0B0B"
"550","71","#AF0B0B"
"600","74.3","#AF0B0B"
"650","71.5","#AF0B0B"
"700","71.2","#AF0B0B"
"750","72","#AF0B0B"
"800","71","#AF0B0B"
"850","70.8","#AF0B0B"
"900","71.7","#AF0B0B"
"950","70.7","#AF0B0B"
"1000","76.3","#AF0B0B"
"1050","79","#AF0B0B"
"1100","78.5","#AF0B0B"
"1150","78.4","#AF0B0B"
"1200","78.8","#AF0B0B"
"1250","78.7","#AF0B0B"
"1300","36.1","#076969"
"1350","16","#076969"
"1400","16.1","#076969"
"1450","16.1","#076969"
"1500","16","#076969"
"1550","16","#076969"
"1600","16.1","#076969"
"1650","16","#076969"
"1700","16.1","#076969"
"1750","16.1","#076969"
"1800","16.1","#076969"
"1850","16.1","#076969"
"1900","16.1","#076969"
"1950","16","#076969"
"2000","16","#076969"
"2050","16.1","#076969"
"2100","16.1","#076969"
"2150","16","#076969"
"2200","16.1","#076969"
"2250","16","#076969"
"2300","16.1","#076969"
"2350","16","#076969"
"2400","16.1","#076969"
"2450","16","#076969"
"2500","16","#076969"
"2550","16.1","#076969"
"2600","16.1","#076969"
"2650","16.1","#076969"
"2700","16","#076969"
"2750","16.1","#076969"
"2800","16","#076969"
"2850","16","#076969"
"2900","16","#076969"
"2950","16","#076969"
"3000","16","#076969"
"3050","16","#076969"
"3100","16","#076969"
"3150","16","#076969"
"3200","16.1","#076969"
"3250","16","#076969"
"3300","16","#076969"
"3350","16","#076969"
"3400","16","#076969"
"3450","16","#076969"
"3500","16.1","#076969"
"3550","16","#076969"
"3600","16","#076969"
"3650","16","#076969"
"3700","16","#076969"
"3750","16","#076969"
"3800","16","#076969"
"3850","16","#076969"
"3900","16","#076969"
"3950","15.9","#076969"
"4000","15.9","#076969"
"4050","16","#076969"
"4100","16.1","#076969"
"4150","16","#076969"
"4200","16","#076969"
"4250","16","#076969"
"4300","16.2","#076969"
"4350","16","#076969"
"4400","16.3","#076969"
"4450","16","#076969"
"4500","16","#076969"
"4550","16.1","#076969"
"4600","16","#076969"
"4650","16","#076969"
"4700","16","#076969"
"4750","16.1","#076969"
"4800","15.9","#076969"
"4850","16","#076969"
"4900","16","#076969"
"4950","16","#076969"
"5000","16","#076969"
"5050","16","#076969"
"5100","16","#076969"
"5150","16.2","#076969"
"5200","16","#076969"
"5250","16.1","#076969"
"5300","16","#076969"
"5350","16","#076969"
"5400","15.9","#076969"
"5450","16","#076969"
"5500","16","#076969"
"5550","16","#076969"
"5600","16.1","#076969"
"5650","16","#076969"
"5700","16.1","#076969"
"5750","16.1","#076969"
"5800","16","#076969"
"5850","16","#076969"
"5900","16","#076969"
"5950","16","#076969"
"6000","15.9","#076969"
