"count","volt","lineColor"
"0","3085","#AF0B0B"
"16","3087","#AF0B0B"
"32","3086","#AF0B0B"
"48","3084","#AF0B0B"
"64","3083","#AF0B0B"
"80","3082","#AF0B0B"
"96","3087","#AF0B0B"
"112","3085","#AF0B0B"
"128","3083","#AF0B0B"
"144","3083","#AF0B0B"
"160","3085","#AF0B0B"
"176","3085","#AF0B0B"
"192","3084","#AF0B0B"
"208","3084","#AF0B0B"
"224","3085","#AF0B0B"
"240","3086","#AF0B0B"
"256","3083","#AF0B0B"
"272","3072","#AF0B0B"
"288","3086","#AF0B0B"
"304","3086","#AF0B0B"
"320","3086","#AF0B0B"
"336","3084","#AF0B0B"
"352","3083","#AF0B0B"
"368","3087","#AF0B0B"
"384","3085","#AF0B0B"
"400","3084","#AF0B0B"
"416","3083","#AF0B0B"
"432","3085","#AF0B0B"
"448","3085","#AF0B0B"
"464","3084","#AF0B0B"
"480","3081","#AF0B0B"
"496","3083","#AF0B0B"
"512","3086","#AF0B0B"
"528","3084","#AF0B0B"
"544","3085","#AF0B0B"
"560","3090","#AF0B0B"
"576","3099","#AF0B0B"
"592","3099","#AF0B0B"
"608","3099","#AF0B0B"
"624","3099","#AF0B0B"
"640","3100","#AF0B0B"
"656","3099","#AF0B0B"
"672","3099","#AF0B0B"
"688","3103","#AF0B0B"
"704","3097","#AF0B0B"
"720","3099","#AF0B0B"
"736","3102","#AF0B0B"
"752","3102","#AF0B0B"
"768","3100","#AF0B0B"
"784","3100","#AF0B0B"
"800","3103","#AF0B0B"
"816","3101","#AF0B0B"
"832","3101","#AF0B0B"
"848","3101","#AF0B0B"
"864","3098","#AF0B0B"
"880","3100","#AF0B0B"
"896","3100","#AF0B0B"
"912","3100","#AF0B0B"
"928","3100","#AF0B0B"
"944","3099","#AF0B0B"
"960","3099","#AF0B0B"
"976","3099","#AF0B0B"
"992","3103","#AF0B0B"
"1008","3095","#AF0B0B"
"1024","3101","#AF0B0B"
"1040","3101","#AF0B0B"
"1056","3101","#AF0B0B"
"1072","3101","#AF0B0B"
"1088","3103","#AF0B0B"
"1104","3102","#AF0B0B"
"1120","3103","#AF0B0B"
"1136","3099","#AF0B0B"
"1152","3086","#AF0B0B"
"1168","3098","#AF0B0B"
"1184","3099","#AF0B0B"
"1200","3099","#AF0B0B"
"1216","3099","#AF0B0B"
"1232","3100","#AF0B0B"
"1248","3099","#AF0B0B"
"1264","3099","#AF0B0B"
"1280","3101","#AF0B0B"
"1296","3101","#AF0B0B"
"1312","3088","#AF0B0B"
"1328","3099","#AF0B0B"
"1344","3099","#AF0B0B"
"1360","3099","#AF0B0B"
"1376","3099","#AF0B0B"
"1392","3099","#AF0B0B"
"1408","3099","#AF0B0B"
"1424","3099","#AF0B0B"
"1440","3100","#AF0B0B"
"1456","3094","#AF0B0B"
"1472","3100","#AF0B0B"
"1488","3102","#AF0B0B"
"1504","3101","#AF0B0B"
"1520","3100","#AF0B0B"
"1536","3101","#AF0B0B"
"1552","3102","#AF0B0B"
"1568","3100","#AF0B0B"
"1584","3099","#AF0B0B"
"1600","3100","#AF0B0B"
"1616","3097","#AF0B0B"
"1632","3100","#AF0B0B"
"1648","3100","#AF0B0B"
"1664","3101","#AF0B0B"
"1680","3102","#AF0B0B"
"1696","3102","#AF0B0B"
"1712","3099","#AF0B0B"
"1728","3100","#AF0B0B"
"1744","3101","#AF0B0B"
"1760","3098","#AF0B0B"
"1776","3098","#AF0B0B"
"1792","3099","#AF0B0B"
