"count","volt","lineColor"
"0","3097","#AF0B0B"
"16","3100","#AF0B0B"
"32","3097","#AF0B0B"
"48","3097","#AF0B0B"
"64","3086","#AF0B0B"
"80","3071","#AF0B0B"
"96","3089","#AF0B0B"
"112","3093","#AF0B0B"
"128","3098","#AF0B0B"
"144","3090","#AF0B0B"
"160","3100","#AF0B0B"
"176","3091","#AF0B0B"
"192","3091","#AF0B0B"
"208","3092","#AF0B0B"
"224","3090","#AF0B0B"
"240","3099","#AF0B0B"
"256","3099","#AF0B0B"
"272","3094","#AF0B0B"
"288","3091","#AF0B0B"
"304","3093","#AF0B0B"
"320","3090","#AF0B0B"
"336","3098","#AF0B0B"
"352","3096","#AF0B0B"
"368","3100","#AF0B0B"
"384","3100","#AF0B0B"
"400","3091","#AF0B0B"
"416","3093","#AF0B0B"
"432","3098","#AF0B0B"
"448","3098","#AF0B0B"
"464","3094","#AF0B0B"
"480","3087","#AF0B0B"
"496","3099","#AF0B0B"
"512","3098","#AF0B0B"
"528","3098","#AF0B0B"
"544","3100","#AF0B0B"
"560","3100","#AF0B0B"
"576","3099","#AF0B0B"
"592","3097","#AF0B0B"
"608","3102","#AF0B0B"
"624","3098","#AF0B0B"
"640","3099","#AF0B0B"
"656","3093","#AF0B0B"
"672","3094","#AF0B0B"
"688","3097","#AF0B0B"
"704","3098","#AF0B0B"
"720","3101","#AF0B0B"
"736","3098","#AF0B0B"
"752","3100","#AF0B0B"
"768","3098","#AF0B0B"
"784","3100","#AF0B0B"
"800","3097","#AF0B0B"
"816","3100","#AF0B0B"
"832","3100","#AF0B0B"
"848","3095","#AF0B0B"
"864","3101","#AF0B0B"
"880","3094","#AF0B0B"
"896","3100","#AF0B0B"
"912","3099","#AF0B0B"
"928","3100","#AF0B0B"
"944","3099","#AF0B0B"
"960","3099","#AF0B0B"
"976","3101","#AF0B0B"
"992","3098","#AF0B0B"
"1008","3093","#AF0B0B"
"1024","3087","#AF0B0B"
"1040","3086","#AF0B0B"
"1056","3087","#AF0B0B"
"1072","3082","#AF0B0B"
"1088","3085","#AF0B0B"
"1104","3087","#AF0B0B"
