"count","pow","lineColor"
"0","218.8","#AF0B0B"
"16","226.1","#AF0B0B"
"32","217.9","#AF0B0B"
"48","272.7","#AF0B0B"
"64","223.4","#AF0B0B"
"80","234.2","#AF0B0B"
"96","236.3","#AF0B0B"
"112","225","#AF0B0B"
"128","243.3","#AF0B0B"
"144","245.3","#AF0B0B"
"160","235.3","#AF0B0B"
"176","245.7","#AF0B0B"
"192","239.4","#AF0B0B"
"208","258.3","#AF0B0B"
"224","238.6","#AF0B0B"
"240","252.1","#AF0B0B"
"256","237.3","#AF0B0B"
"272","246.9","#AF0B0B"
"288","233.9","#AF0B0B"
"304","244.3","#AF0B0B"
"320","224.7","#AF0B0B"
"336","221.6","#AF0B0B"
"352","237.3","#AF0B0B"
"368","234","#AF0B0B"
"384","222.8","#AF0B0B"
"400","238.6","#AF0B0B"
"416","242.2","#AF0B0B"
"432","247.5","#AF0B0B"
"448","230.5","#AF0B0B"
"464","226.8","#AF0B0B"
"480","246.8","#AF0B0B"
"496","248.6","#AF0B0B"
"512","223.6","#AF0B0B"
"528","234.4","#AF0B0B"
"544","231.5","#AF0B0B"
"560","259.1","#AF0B0B"
"576","256.2","#AF0B0B"
"592","229.5","#AF0B0B"
"608","237.6","#AF0B0B"
"624","232.3","#AF0B0B"
"640","247.7","#AF0B0B"
"656","265.4","#AF0B0B"
"672","223.7","#AF0B0B"
"688","258.4","#AF0B0B"
"704","231.6","#AF0B0B"
"720","233.6","#AF0B0B"
"736","227.8","#AF0B0B"
"752","222.6","#AF0B0B"
"768","241.7","#AF0B0B"
"784","225.6","#AF0B0B"
"800","245.1","#AF0B0B"
"816","223.4","#AF0B0B"
"832","225","#AF0B0B"
"848","230.8","#AF0B0B"
"864","222.3","#AF0B0B"
"880","233.1","#AF0B0B"
"896","242.7","#AF0B0B"
"912","226","#AF0B0B"
"928","253.5","#AF0B0B"
"944","247.9","#AF0B0B"
"960","246.2","#AF0B0B"
"976","239.7","#AF0B0B"
"992","270.5","#AF0B0B"
"1008","240.1","#AF0B0B"
"1024","240.7","#AF0B0B"
"1040","243.1","#AF0B0B"
"1056","244.2","#AF0B0B"
"1072","240.8","#AF0B0B"
"1088","241","#AF0B0B"
"1104","241","#AF0B0B"
"1120","241.9","#AF0B0B"
"1136","244.9","#AF0B0B"
"1152","236.3","#AF0B0B"
"1168","243.5","#AF0B0B"
"1184","241","#AF0B0B"
"1200","241.3","#AF0B0B"
"1216","244.9","#AF0B0B"
"1232","241.3","#AF0B0B"
"1248","241.7","#AF0B0B"
"1264","240.5","#AF0B0B"
"1280","243.1","#AF0B0B"
"1296","256.2","#076969"
"1312","56.6","#076969"
"1328","51.8","#076969"
"1344","51.8","#076969"
"1360","51.5","#076969"
"1376","51.5","#076969"
"1392","51.5","#076969"
"1408","51.5","#076969"
"1424","51.5","#076969"
"1440","51.5","#076969"
"1456","51.8","#076969"
"1472","42.5","#076969"
"1488","51.5","#076969"
"1504","51.8","#076969"
"1520","51.5","#076969"
"1536","51.5","#076969"
"1552","53.1","#076969"
"1568","51.5","#076969"
"1584","51.8","#076969"
"1600","51.5","#076969"
"1616","51.8","#076969"
"1632","51.8","#076969"
"1648","51.8","#076969"
"1664","51.5","#076969"
"1680","51.8","#076969"
"1696","51.5","#076969"
"1712","51.5","#076969"
"1728","51.5","#076969"
"1744","51.8","#076969"
"1760","51.5","#076969"
"1776","51.5","#076969"
"1792","51.5","#076969"
"1808","51.8","#076969"
"1824","51.5","#076969"
"1840","51.8","#076969"
"1856","51.5","#076969"
"1872","50.8","#076969"
"1888","55","#076969"
"1904","51.8","#076969"
"1920","51.5","#076969"
"1936","51.8","#076969"
"1952","51.5","#076969"
"1968","52.1","#076969"
"1984","51.5","#076969"
"2000","51.5","#076969"
"2016","51.5","#076969"
"2032","51.8","#076969"
"2048","51.5","#076969"
"2064","51.8","#076969"
"2080","51.5","#076969"
"2096","51.5","#076969"
"2112","51.5","#076969"
"2128","51.8","#076969"
"2144","51.5","#076969"
"2160","51.2","#076969"
"2176","51.8","#076969"
"2192","51.5","#076969"
"2208","51.5","#076969"
"2224","51.5","#076969"
"2240","51.8","#076969"
"2256","51.5","#076969"
"2272","51.5","#076969"
"2288","57.2","#076969"
"2304","51.9","#076969"
"2320","51.5","#076969"
"2336","51.5","#076969"
"2352","51.5","#076969"
"2368","51.8","#076969"
"2384","51.8","#076969"
"2400","51.8","#076969"
"2416","51.5","#076969"
"2432","51.5","#076969"
"2448","51.5","#076969"
"2464","51.5","#076969"
"2480","51.5","#076969"
"2496","51.8","#076969"
"2512","51.5","#076969"
"2528","51.5","#076969"
"2544","51.5","#076969"
"2560","51.5","#076969"
"2576","51.5","#076969"
"2592","51.8","#076969"
"2608","51.5","#076969"
"2624","51.5","#076969"
"2640","51.5","#076969"
"2656","51.5","#076969"
"2672","51.5","#076969"
"2688","51.8","#076969"
"2704","51.5","#076969"
"2720","51.5","#076969"
"2736","51.5","#076969"
"2752","51.8","#076969"
"2768","51.8","#076969"
"2784","51.5","#076969"
"2800","51.5","#076969"
"2816","51.5","#076969"
"2832","51.8","#076969"
"2848","51.8","#076969"
"2864","51.5","#076969"
"2880","51.5","#076969"
"2896","51.5","#076969"
"2912","51.2","#076969"
"2928","51.5","#076969"
"2944","51.5","#076969"
"2960","51.8","#076969"
"2976","51.5","#076969"
"2992","51.8","#076969"
"3008","51.5","#076969"
"3024","51.5","#076969"
"3040","51.5","#076969"
"3056","51.5","#076969"
"3072","51.5","#076969"
"3088","51.2","#076969"
"3104","51.5","#076969"
"3120","51.5","#076969"
"3136","51.8","#076969"
"3152","51.5","#076969"
"3168","51.5","#076969"
"3184","51.5","#076969"
"3200","51.8","#076969"
"3216","55","#076969"
"3232","51.5","#076969"
"3248","51.5","#076969"
"3264","51.5","#076969"
"3280","51.5","#076969"
"3296","52.8","#076969"
"3312","51.5","#076969"
"3328","51.5","#076969"
"3344","51.5","#076969"
"3360","51.5","#076969"
"3376","51.5","#076969"
"3392","51.5","#076969"
"3408","51.2","#076969"
"3424","51.5","#076969"
"3440","51.2","#076969"
"3456","51.5","#076969"
"3472","51.5","#076969"
"3488","51.5","#076969"
"3504","51.5","#076969"
"3520","51.2","#076969"
"3536","51.5","#076969"
"3552","51.5","#076969"
"3568","51.5","#076969"
"3584","52.5","#076969"
"3600","51.5","#076969"
"3616","51.8","#076969"
"3632","51.5","#076969"
"3648","51.5","#076969"
"3664","51.5","#076969"
"3680","51.5","#076969"
"3696","51.5","#076969"
"3712","51.5","#076969"
"3728","51.5","#076969"
"3744","51.2","#076969"
"3760","51.8","#076969"
"3776","51.5","#076969"
"3792","51.5","#076969"
"3808","51.5","#076969"
"3824","51.5","#076969"
"3840","51.5","#076969"
"3856","51.5","#076969"
"3872","51.5","#076969"
"3888","51.5","#076969"
"3904","51.5","#076969"
"3920","51.8","#076969"
"3936","52.8","#076969"
"3952","51.5","#076969"
"3968","51.5","#076969"
"3984","51.8","#076969"
"4000","51.8","#076969"
"4016","51.8","#076969"
"4032","51.5","#076969"
"4048","51.5","#076969"
"4064","51.5","#076969"
"4080","51.5","#076969"
"4096","51.5","#076969"
"4112","51.5","#076969"
"4128","51.5","#076969"
"4144","51.5","#076969"
"4160","51.5","#076969"
"4176","51.5","#076969"
"4192","51.5","#076969"
"4208","51.5","#076969"
"4224","51.8","#076969"
"4240","51.2","#076969"
"4256","51.5","#076969"
"4272","51.5","#076969"
"4288","51.5","#076969"
"4304","51.5","#076969"
"4320","51.5","#076969"
"4336","51.5","#076969"
"4352","51.5","#076969"
"4368","51.8","#076969"
"4384","51.5","#076969"
"4400","51.5","#076969"
"4416","51.2","#076969"
"4432","51.5","#076969"
"4448","51.5","#076969"
"4464","51.2","#076969"
"4480","51.5","#076969"
"4496","51.5","#076969"
"4512","51.5","#076969"
"4528","51.8","#076969"
"4544","54.9","#076969"
