"count","volt","lineColor"
"0","3077","#AF0B0B"
"16","3079","#AF0B0B"
"32","3078","#AF0B0B"
"48","3078","#AF0B0B"
"64","3076","#AF0B0B"
"80","3074","#AF0B0B"
"96","3079","#AF0B0B"
"112","3079","#AF0B0B"
"128","3076","#AF0B0B"
"144","3076","#AF0B0B"
"160","3076","#AF0B0B"
"176","3079","#AF0B0B"
"192","3075","#AF0B0B"
"208","3075","#AF0B0B"
"224","3078","#AF0B0B"
"240","3078","#AF0B0B"
"256","3077","#AF0B0B"
"272","3079","#AF0B0B"
"288","3075","#AF0B0B"
"304","3079","#AF0B0B"
"320","3078","#AF0B0B"
"336","3077","#AF0B0B"
"352","3078","#AF0B0B"
"368","3072","#AF0B0B"
"384","3076","#AF0B0B"
"400","3079","#AF0B0B"
"416","3075","#AF0B0B"
"432","3075","#AF0B0B"
"448","3077","#AF0B0B"
"464","3079","#AF0B0B"
"480","3076","#AF0B0B"
"496","3076","#AF0B0B"
"512","3077","#AF0B0B"
"528","3078","#AF0B0B"
"544","3077","#AF0B0B"
"560","3077","#AF0B0B"
"576","3085","#AF0B0B"
"592","3097","#AF0B0B"
"608","3097","#AF0B0B"
"624","3096","#AF0B0B"
"640","3095","#AF0B0B"
"656","3096","#AF0B0B"
"672","3099","#AF0B0B"
"688","3096","#AF0B0B"
"704","3097","#AF0B0B"
"720","3095","#AF0B0B"
"736","3099","#AF0B0B"
"752","3097","#AF0B0B"
"768","3098","#AF0B0B"
"784","3098","#AF0B0B"
"800","3097","#AF0B0B"
"816","3099","#AF0B0B"
"832","3099","#AF0B0B"
"848","3098","#AF0B0B"
"864","3099","#AF0B0B"
"880","3094","#AF0B0B"
"896","3096","#AF0B0B"
"912","3098","#AF0B0B"
"928","3097","#AF0B0B"
"944","3095","#AF0B0B"
"960","3096","#AF0B0B"
"976","3096","#AF0B0B"
"992","3096","#AF0B0B"
"1008","3096","#AF0B0B"
"1024","3095","#AF0B0B"
"1040","3097","#AF0B0B"
"1056","3099","#AF0B0B"
"1072","3098","#AF0B0B"
"1088","3097","#AF0B0B"
"1104","3098","#AF0B0B"
"1120","3099","#AF0B0B"
"1136","3097","#AF0B0B"
"1152","3096","#AF0B0B"
"1168","3096","#AF0B0B"
"1184","3083","#AF0B0B"
"1200","3097","#AF0B0B"
"1216","3096","#AF0B0B"
"1232","3095","#AF0B0B"
"1248","3096","#AF0B0B"
"1264","3095","#AF0B0B"
"1280","3096","#AF0B0B"
"1296","3096","#AF0B0B"
"1312","3097","#AF0B0B"
"1328","3089","#AF0B0B"
"1344","3099","#AF0B0B"
"1360","3096","#AF0B0B"
"1376","3097","#AF0B0B"
"1392","3098","#AF0B0B"
"1408","3096","#AF0B0B"
"1424","3098","#AF0B0B"
"1440","3098","#AF0B0B"
"1456","3098","#AF0B0B"
"1472","3098","#AF0B0B"
"1488","3092","#AF0B0B"
"1504","3096","#AF0B0B"
"1520","3098","#AF0B0B"
"1536","3098","#AF0B0B"
"1552","3096","#AF0B0B"
"1568","3098","#AF0B0B"
"1584","3095","#AF0B0B"
"1600","3095","#AF0B0B"
"1616","3096","#AF0B0B"
"1632","3094","#AF0B0B"
"1648","3096","#AF0B0B"
"1664","3095","#AF0B0B"
"1680","3096","#AF0B0B"
"1696","3096","#AF0B0B"
"1712","3097","#AF0B0B"
"1728","3096","#AF0B0B"
"1744","3096","#AF0B0B"
"1760","3096","#AF0B0B"
"1776","3096","#AF0B0B"
"1792","3097","#AF0B0B"
"1808","3096","#AF0B0B"
"1824","3098","#AF0B0B"
"1840","3098","#AF0B0B"
"1856","3097","#AF0B0B"
"1872","3098","#AF0B0B"
"1888","3099","#AF0B0B"
"1904","3099","#AF0B0B"
"1920","3098","#AF0B0B"
"1936","3070","#AF0B0B"
"1952","3097","#AF0B0B"
"1968","3095","#AF0B0B"
"1984","3096","#AF0B0B"
"2000","3098","#AF0B0B"
"2016","3096","#AF0B0B"
"2032","3096","#AF0B0B"
"2048","3095","#AF0B0B"
"2064","3095","#AF0B0B"
"2080","3090","#AF0B0B"
"2096","3092","#AF0B0B"
"2112","3098","#AF0B0B"
"2128","3096","#AF0B0B"
"2144","3097","#AF0B0B"
"2160","3096","#AF0B0B"
"2176","3095","#AF0B0B"
"2192","3098","#AF0B0B"
"2208","3098","#AF0B0B"
"2224","3095","#AF0B0B"
"2240","3091","#AF0B0B"
"2256","3098","#AF0B0B"
"2272","3098","#AF0B0B"
"2288","3099","#AF0B0B"
"2304","3099","#AF0B0B"
"2320","3098","#AF0B0B"
"2336","3099","#AF0B0B"
"2352","3099","#AF0B0B"
"2368","3097","#AF0B0B"
"2384","3084","#AF0B0B"
"2400","3098","#AF0B0B"
"2416","3099","#AF0B0B"
"2432","3098","#AF0B0B"
"2448","3098","#AF0B0B"
"2464","3097","#AF0B0B"
"2480","3097","#AF0B0B"
"2496","3096","#AF0B0B"
"2512","3095","#AF0B0B"
"2528","3097","#AF0B0B"
"2544","3090","#AF0B0B"
"2560","3099","#AF0B0B"
"2576","3099","#AF0B0B"
"2592","3099","#AF0B0B"
"2608","3099","#AF0B0B"
"2624","3098","#AF0B0B"
"2640","3099","#AF0B0B"
"2656","3097","#AF0B0B"
"2672","3095","#AF0B0B"
"2688","3087","#AF0B0B"
"2704","3080","#AF0B0B"
"2720","3080","#AF0B0B"
"2736","3079","#AF0B0B"
"2752","3079","#AF0B0B"
"2768","3079","#AF0B0B"
"2784","3079","#AF0B0B"
"2800","3079","#AF0B0B"
"2816","3079","#AF0B0B"
"2832","3079","#AF0B0B"
"2848","3079","#AF0B0B"
"2864","3079","#AF0B0B"
"2880","3079","#AF0B0B"
"2896","3078","#AF0B0B"
"2912","3081","#AF0B0B"
"2928","3079","#AF0B0B"
"2944","3079","#AF0B0B"
"2960","3079","#AF0B0B"
"2976","3079","#AF0B0B"
"2992","3078","#AF0B0B"
"3008","3079","#AF0B0B"
"3024","3080","#AF0B0B"
"3040","3079","#AF0B0B"
"3056","3079","#AF0B0B"
"3072","3079","#AF0B0B"
"3088","3079","#AF0B0B"
"3104","3079","#AF0B0B"
"3120","3079","#AF0B0B"
"3136","3079","#AF0B0B"
"3152","3079","#AF0B0B"
"3168","3078","#AF0B0B"
"3184","3080","#AF0B0B"
"3200","3078","#AF0B0B"
"3216","3080","#AF0B0B"
"3232","3079","#AF0B0B"
"3248","3079","#AF0B0B"
