"count","volt","lineColor"
"0","3063","#AF0B0B"
"16","3031","#AF0B0B"
"32","3079","#AF0B0B"
"48","3078","#AF0B0B"
"64","3088","#AF0B0B"
"80","3087","#AF0B0B"
"96","3093","#AF0B0B"
"112","3094","#AF0B0B"
"128","3096","#AF0B0B"
"144","3087","#AF0B0B"
"160","3094","#AF0B0B"
"176","3086","#AF0B0B"
"192","3094","#AF0B0B"
"208","3091","#AF0B0B"
"224","3097","#AF0B0B"
"240","3095","#AF0B0B"
"256","3084","#AF0B0B"
"272","3097","#AF0B0B"
"288","3091","#AF0B0B"
"304","3093","#AF0B0B"
"320","3092","#AF0B0B"
"336","3091","#AF0B0B"
"352","3101","#AF0B0B"
"368","3087","#AF0B0B"
"384","3097","#AF0B0B"
"400","3087","#AF0B0B"
"416","3098","#AF0B0B"
"432","3094","#AF0B0B"
"448","3092","#AF0B0B"
"464","3087","#AF0B0B"
"480","3087","#AF0B0B"
"496","3095","#AF0B0B"
"512","3095","#AF0B0B"
"528","3098","#AF0B0B"
"544","3090","#AF0B0B"
"560","3094","#AF0B0B"
"576","3084","#AF0B0B"
"592","3093","#AF0B0B"
"608","3095","#AF0B0B"
"624","3093","#AF0B0B"
"640","3098","#AF0B0B"
"656","3090","#AF0B0B"
"672","3091","#AF0B0B"
"688","3096","#AF0B0B"
"704","3096","#AF0B0B"
"720","3093","#AF0B0B"
"736","3092","#AF0B0B"
"752","3098","#AF0B0B"
"768","3096","#AF0B0B"
"784","3091","#AF0B0B"
"800","3095","#AF0B0B"
"816","3093","#AF0B0B"
"832","3092","#AF0B0B"
"848","3089","#AF0B0B"
"864","3094","#AF0B0B"
"880","3090","#AF0B0B"
"896","3097","#AF0B0B"
"912","3098","#AF0B0B"
"928","3090","#AF0B0B"
"944","3088","#AF0B0B"
"960","3091","#AF0B0B"
"976","3093","#AF0B0B"
"992","3091","#AF0B0B"
"1008","3089","#AF0B0B"
"1024","3083","#AF0B0B"
"1040","3084","#AF0B0B"
"1056","3081","#AF0B0B"
"1072","3083","#AF0B0B"
"1088","3079","#AF0B0B"
"1104","3083","#AF0B0B"
"1120","3084","#AF0B0B"
"1136","3081","#AF0B0B"
"1152","3084","#AF0B0B"
"1168","3082","#AF0B0B"
"1184","3083","#AF0B0B"
"1200","3081","#AF0B0B"
"1216","3078","#AF0B0B"
"1232","3083","#AF0B0B"
"1248","3084","#AF0B0B"
"1264","3081","#AF0B0B"
"1280","3084","#AF0B0B"
"1296","3072","#076969"
"1312","3222","#076969"
"1328","3224","#076969"
"1344","3224","#076969"
"1360","3225","#076969"
"1376","3225","#076969"
"1392","3225","#076969"
"1408","3225","#076969"
"1424","3226","#076969"
"1440","3225","#076969"
"1456","3224","#076969"
"1472","3225","#076969"
"1488","3225","#076969"
"1504","3226","#076969"
"1520","3223","#076969"
"1536","3224","#076969"
"1552","3224","#076969"
"1568","3225","#076969"
