"count","pow","lineColor"
"0","223","#AF0B0B"
"16","246","#AF0B0B"
"32","243","#AF0B0B"
"48","254.7","#AF0B0B"
"64","224.8","#AF0B0B"
"80","215.1","#AF0B0B"
"96","228.6","#AF0B0B"
"112","219","#AF0B0B"
"128","227.2","#AF0B0B"
"144","225.2","#AF0B0B"
"160","226","#AF0B0B"
"176","218.6","#AF0B0B"
"192","224.3","#AF0B0B"
"208","231.1","#AF0B0B"
"224","218.8","#AF0B0B"
"240","229.1","#AF0B0B"
"256","230.7","#AF0B0B"
"272","220.8","#AF0B0B"
"288","231.9","#AF0B0B"
"304","221.6","#AF0B0B"
"320","229.6","#AF0B0B"
"336","222","#AF0B0B"
"352","232.2","#AF0B0B"
"368","220.7","#AF0B0B"
"384","234.3","#AF0B0B"
"400","234.6","#AF0B0B"
"416","222.1","#AF0B0B"
"432","217.4","#AF0B0B"
"448","219.1","#AF0B0B"
"464","230.1","#AF0B0B"
"480","224.8","#AF0B0B"
"496","230.4","#AF0B0B"
"512","220.3","#AF0B0B"
"528","223","#AF0B0B"
"544","227.3","#AF0B0B"
"560","218.3","#AF0B0B"
"576","224.9","#AF0B0B"
"592","220.9","#AF0B0B"
"608","219.5","#AF0B0B"
"624","229","#AF0B0B"
"640","219.9","#AF0B0B"
"656","230.6","#AF0B0B"
"672","234.3","#AF0B0B"
"688","220","#AF0B0B"
"704","224.5","#AF0B0B"
"720","226.5","#AF0B0B"
"736","225.9","#AF0B0B"
"752","219.9","#AF0B0B"
"768","220.5","#AF0B0B"
"784","216.7","#AF0B0B"
"800","218.7","#AF0B0B"
"816","225","#AF0B0B"
"832","228.9","#AF0B0B"
"848","218.2","#AF0B0B"
"864","219.1","#AF0B0B"
"880","222.2","#AF0B0B"
"896","216.9","#AF0B0B"
"912","223.9","#AF0B0B"
"928","222.5","#AF0B0B"
"944","218.8","#AF0B0B"
"960","218.6","#AF0B0B"
"976","221.1","#AF0B0B"
"992","223","#AF0B0B"
"1008","239.5","#AF0B0B"
"1024","239.8","#AF0B0B"
"1040","239.8","#AF0B0B"
"1056","242.4","#AF0B0B"
"1072","238.3","#AF0B0B"
"1088","239.3","#AF0B0B"
"1104","246.6","#AF0B0B"
"1120","241.3","#AF0B0B"
"1136","242.7","#AF0B0B"
"1152","238.4","#AF0B0B"
"1168","240.1","#AF0B0B"
"1184","239.5","#AF0B0B"
"1200","240.1","#AF0B0B"
"1216","240.7","#AF0B0B"
"1232","240.6","#AF0B0B"
"1248","238.3","#AF0B0B"
"1264","239.2","#AF0B0B"
"1280","239.8","#AF0B0B"
"1296","262","#076969"
"1312","197.3","#076969"
"1328","52.2","#076969"
"1344","51.5","#076969"
"1360","51.8","#076969"
"1376","51.8","#076969"
"1392","51.8","#076969"
"1408","51.8","#076969"
"1424","51.9","#076969"
"1440","51.5","#076969"
"1456","51.5","#076969"
"1472","51.8","#076969"
"1488","51.5","#076969"
"1504","51.8","#076969"
"1520","51.8","#076969"
"1536","51.5","#076969"
"1552","51.5","#076969"
"1568","51.8","#076969"
"1584","51.5","#076969"
"1600","51.5","#076969"
"1616","51.5","#076969"
"1632","51.5","#076969"
"1648","51.5","#076969"
"1664","51.8","#076969"
"1680","51.5","#076969"
"1696","51.5","#076969"
"1712","51.5","#076969"
"1728","51.5","#076969"
"1744","51.8","#076969"
"1760","51.5","#076969"
"1776","51.5","#076969"
"1792","51.5","#076969"
"1808","51.8","#076969"
"1824","51.5","#076969"
"1840","51.8","#076969"
"1856","51.8","#076969"
"1872","51.5","#076969"
"1888","51.8","#076969"
"1904","51.5","#076969"
"1920","51.5","#076969"
"1936","51.5","#076969"
"1952","51.5","#076969"
"1968","51.5","#076969"
"1984","51.8","#076969"
"2000","51.5","#076969"
"2016","51.8","#076969"
"2032","51.8","#076969"
"2048","51.8","#076969"
"2064","51.5","#076969"
"2080","51.5","#076969"
"2096","51.5","#076969"
"2112","53.1","#076969"
"2128","55.3","#076969"
"2144","51.5","#076969"
"2160","51.5","#076969"
"2176","51.8","#076969"
"2192","51.8","#076969"
