5	223.88,178.7,244.7,	72.05,56.9,79.3,	3108.17,3086,3141,	4000,
6	219.10,217.2,220.5,	70.41,69.8,70.9,	3112.44,3111,3115,	1000,
7	51.80,51,150.1,	16.06,15.8,47.5,	3230.77,3160,3233,	10000,
8	223.15,172,249.4,	71.81,54.6,81.3,	3108.67,3068,3151,	4000,
9	218.18,212.4,231.5,	70.10,68.2,74.4,	3113.36,3111,3115,	1000,
10	51.89,48.7,186.9,	16.09,15.1,59.7,	3230.68,3131,3233,	10000,
11	223.23,141.8,241.7,	71.84,44.8,78.1,	3108.43,3093,3167,	4000,
12	219.08,214.6,222.3,	70.42,69.1,71.6,	3111.88,3106,3114,	1000,
1	51.70,45.7,119.4,	16.03,14.2,37.6,	3230.40,3178,3232,	10000,
2	223.03,205.6,298,	71.90,66.2,98.5,	3103.28,3026,3114,	4000,
3	217.67,213.5,227.8,	70.04,68.7,73.6,	3108.36,3096,3111,	1000,
4	51.76,43.9,148.7,	16.05,13.6,47.2,	3230.57,3152,3232,	10000,
5	224.07,177.7,281.3,	72.22,56.7,91.6,	3103.67,3072,3135,	4000,
6	218.96,217.5,219.6,	70.48,70,70.7,	3107.04,3102,3109,	1000,
7	51.83,51,165.1,	16.07,15.8,52.4,	3230.55,3152,3232,	10000,
8	222.38,165.5,285.6,	71.65,52.5,92.8,	3104.71,3078,3153,	4000,
9	216.83,215.4,217.8,	69.75,69.3,70.1,	3109.36,3108,3111,	1000,
10	52.04,51,195.3,	16.14,15.8,62.6,	3230.40,3120,3232,	10000,
11	223.00,141.1,252.7,	71.87,44.6,81.7,	3103.91,3089,3164,	4000,
12	218.48,217.6,219.6,	70.32,70,70.7,	3107.60,3107,3109,	1000,
1	51.86,50.5,215.9,	16.15,15.7,70.1,	3217.84,3080,3220,	10040,
2	222.15,198.1,289.2,	72.31,64.3,97.1,	3073.78,2979,3082,	4000,
3	216.72,214.6,218.7,	70.40,69.7,71.1,	3079.16,3076,3081,	1000,
4	51.07,43.7,118.7,	15.89,13.6,37.6,	3218.36,3157,3220,	10000,
5	222.09,192,327.5,	72.30,61.7,109.8,	3073.63,2983,3113,	4000,
6	216.41,215,217.3,	70.30,69.8,70.6,	3079.32,3079,3081,	1000,
7	51.27,50.5,166.9,	15.95,15.7,53.4,	3218.22,3127,3219,	10000,
8	220.47,175.9,287.2,	71.69,56.5,93.9,	3076.42,3059,3115,	4000,
9	215.84,212.9,233.8,	70.04,69,76.5,	3082.24,3057,3086,	1000,
10	51.26,47.6,159.1,	15.95,14.8,50.9,	3218.54,3127,3220,	10000,
11	220.41,137.5,249.2,	71.62,43.7,81.6,	3078.82,3053,3148,	4000,
12	215.97,214.2,217.3,	70.05,69.4,70.5,	3083.80,3082,3087,	1000,
1	51.58,50.2,138.4,	16.04,15.6,44.1,	3220.07,3140,3223,	10000,
2	223.12,214.2,322.3,	72.34,69.3,109.2,	3086.18,2952,3096,	4000,
3	216.87,214.2,230.7,	70.13,69.2,75,	3093.20,3076,3097,	1000,
4	51.54,47.6,128.8,	16.02,14.8,40.6,	3220.63,3173,3223,	10000,
5	223.20,180.5,344.5,	72.33,57.9,113.8,	3087.28,3028,3119,	4000,
6	215.24,214.1,217,	69.58,69.2,70.2,	3094.28,3092,3096,	1000,
7	51.69,41.5,186.7,	16.07,12.9,59.8,	3220.30,3123,3223,	10000,
8	224.10,175.1,363,	72.67,56,122,	3085.51,2976,3127,	4000,
9	218.20,216.3,230.5,	70.66,70,75,	3088.76,3074,3091,	1000,
10	51.66,49.9,166.9,	16.07,15.5,53.5,	3219.42,3121,3222,	10000,
11	222.31,146.9,299.4,	72.11,46.8,99.5,	3084.93,3010,3141,	4000,
12	215.35,205.9,221.5,	69.69,66.7,71.7,	3090.68,3087,3093,	1000,
1	51.77,43.7,215.8,	16.12,13.6,70,	3217.92,3083,3220,	10040,
2	223.28,200.3,375,	72.64,65,127.3,	3075.66,2946,3086,	4000,
3	215.54,214.5,221.7,	69.94,69.6,72.1,	3082.72,3075,3084,	1000,
4	51.36,47.9,169.9,	15.98,14.9,54.4,	3218.27,3124,3219,	10000,
5	223.73,193.4,406,	72.80,62.3,139,	3075.82,2921,3105,	4000,
6	215.63,213.8,216.5,	69.82,69.2,70.1,	3088.96,3087,3091,	1000,
7	51.42,50.5,209.1,	16.00,15.7,67.9,	3218.78,3080,3222,	10000,
8	223.54,208.4,300,	72.65,66.8,101.7,	3078.86,2950,3120,	3600,
9	217.27,214.7,250.4,	70.27,69.4,82.2,	3092.84,3047,3096,	1000,
10	51.67,47.3,249.9,	16.08,14.7,81.3,	3219.02,3075,3222,	10000,
11	223.82,141.3,373,	72.59,44.9,124.6,	3085.47,2994,3148,	4000,
12	215.74,200,219.3,	69.68,64.6,70.9,	3096.84,3094,3099,	1000,
