"count","curr","lineColor"
"0","68.9","#AF0B0B"
"40","68.7","#AF0B0B"
"80","69","#AF0B0B"
"120","69","#AF0B0B"
"160","77.9","#AF0B0B"
"200","72.9","#AF0B0B"
"240","69.8","#AF0B0B"
"280","69.9","#AF0B0B"
"320","68.8","#AF0B0B"
"360","69","#AF0B0B"
"400","68.9","#AF0B0B"
"440","75.1","#AF0B0B"
"480","68.9","#AF0B0B"
"520","68.6","#AF0B0B"
"560","68.9","#AF0B0B"
"600","68.9","#AF0B0B"
"640","68.9","#AF0B0B"
"680","69","#AF0B0B"
"720","68.6","#AF0B0B"
"760","68.8","#AF0B0B"
"800","68.7","#AF0B0B"
"840","68.7","#AF0B0B"
"880","69","#AF0B0B"
"920","68.6","#AF0B0B"
"960","91.1","#AF0B0B"
"1000","16.4","#AF0B0B"
"1040","15","#AF0B0B"
"1080","15","#AF0B0B"
"1120","15","#AF0B0B"
"1160","15","#AF0B0B"
"1200","14.9","#AF0B0B"
"1240","15.1","#AF0B0B"
"1280","15","#AF0B0B"
"1320","14.9","#AF0B0B"
"1360","14.9","#AF0B0B"
"1400","15","#AF0B0B"
"1440","15.1","#AF0B0B"
"1480","15","#AF0B0B"
"1520","14.9","#AF0B0B"
"1560","14.9","#AF0B0B"
"1600","14.9","#AF0B0B"
"1640","14.9","#AF0B0B"
"1680","14.9","#AF0B0B"
"1720","15","#AF0B0B"
"1760","14.9","#AF0B0B"
"1800","15","#AF0B0B"
"1840","14.9","#AF0B0B"
"1880","14.9","#AF0B0B"
"1920","15","#AF0B0B"
"1960","14.9","#AF0B0B"
"2000","14.9","#AF0B0B"
"2040","14.9","#AF0B0B"
"2080","14.9","#AF0B0B"
"2120","14.9","#AF0B0B"
"2160","14.9","#AF0B0B"
"2200","14.9","#AF0B0B"
"2240","15","#AF0B0B"
"2280","14.9","#AF0B0B"
"2320","14.9","#AF0B0B"
"2360","14.9","#AF0B0B"
"2400","14.9","#AF0B0B"
"2440","14.9","#AF0B0B"
"2480","14.9","#AF0B0B"
"2520","14.9","#AF0B0B"
"2560","14.9","#AF0B0B"
"2600","14.9","#AF0B0B"
"2640","14.9","#AF0B0B"
"2680","14.9","#AF0B0B"
"2720","14.9","#AF0B0B"
"2760","15","#AF0B0B"
"2800","14.9","#AF0B0B"
"2840","14.9","#AF0B0B"
"2880","14.8","#AF0B0B"
"2920","14.9","#AF0B0B"
"2960","14.9","#AF0B0B"
"3000","14.9","#AF0B0B"
"3040","15","#AF0B0B"
"3080","14.9","#AF0B0B"
"3120","14.9","#AF0B0B"
"3160","15","#AF0B0B"
"3200","14.8","#AF0B0B"
"3240","14.8","#AF0B0B"
"3280","14.9","#AF0B0B"
"3320","14.9","#AF0B0B"
"3360","14.9","#AF0B0B"
"3400","14.9","#AF0B0B"
"3440","14.9","#AF0B0B"
"3480","14.9","#AF0B0B"
"3520","14.9","#AF0B0B"
"3560","14.9","#AF0B0B"
"3600","15","#AF0B0B"
"3640","14.9","#AF0B0B"
"3680","15","#AF0B0B"
"3720","14.9","#AF0B0B"
"3760","14.9","#AF0B0B"
"3800","15","#AF0B0B"
"3840","14.9","#AF0B0B"
"3880","15","#AF0B0B"
"3920","14.9","#AF0B0B"
"3960","14.9","#AF0B0B"
"4000","14.9","#AF0B0B"
"4040","14.9","#AF0B0B"
"4080","14.9","#AF0B0B"
"4120","14.9","#AF0B0B"
"4160","14.9","#AF0B0B"
"4200","15","#AF0B0B"
"4240","14.9","#AF0B0B"
"4280","14.9","#AF0B0B"
"4320","15","#AF0B0B"
"4360","14.9","#AF0B0B"
"4400","14.9","#AF0B0B"
"4440","14.9","#AF0B0B"
"4480","14.9","#AF0B0B"
"4520","14.9","#AF0B0B"
"4560","14.9","#AF0B0B"
"4600","14.9","#AF0B0B"
"4640","15","#AF0B0B"
"4680","15","#AF0B0B"
"4720","14.9","#AF0B0B"
"4760","14.9","#AF0B0B"
"4800","14.9","#AF0B0B"
"4840","14.9","#AF0B0B"
"4880","15","#AF0B0B"
"4920","14.9","#AF0B0B"
"4960","14.9","#AF0B0B"
"5000","14.9","#AF0B0B"
"5040","14.9","#AF0B0B"
"5080","14.9","#AF0B0B"
"5120","15","#AF0B0B"
"5160","15","#AF0B0B"
"5200","14.9","#AF0B0B"
"5240","14.9","#AF0B0B"
"5280","14.9","#AF0B0B"
"5320","14.9","#AF0B0B"
"5360","14.9","#AF0B0B"
"5400","14.9","#AF0B0B"
"5440","14.9","#AF0B0B"
"5480","14.9","#AF0B0B"
"5520","14.9","#AF0B0B"
"5560","14.9","#AF0B0B"
"5600","14.9","#AF0B0B"
"5640","14.9","#AF0B0B"
"5680","14.9","#AF0B0B"
"5720","14.9","#AF0B0B"
"5760","14.9","#AF0B0B"
"5800","14.9","#AF0B0B"
"5840","14.9","#AF0B0B"
"5880","14.9","#AF0B0B"
"5920","15","#AF0B0B"
"5960","14.9","#AF0B0B"
"6000","14.9","#AF0B0B"
"6040","14.9","#AF0B0B"
"6080","14.9","#AF0B0B"
"6120","14.9","#AF0B0B"
"6160","14.9","#AF0B0B"
"6200","14.9","#AF0B0B"
"6240","14.9","#AF0B0B"
"6280","14.9","#AF0B0B"
"6320","14.9","#AF0B0B"
"6360","14.9","#AF0B0B"
"6400","14.9","#AF0B0B"
"6440","14.9","#AF0B0B"
"6480","14.9","#AF0B0B"
"6520","14.9","#AF0B0B"
"6560","14.8","#AF0B0B"
"6600","14.9","#AF0B0B"
"6640","14.9","#AF0B0B"
