"count","volt","lineColor"
"0","3079","#AF0B0B"
"40","3078","#AF0B0B"
"80","3080","#AF0B0B"
"120","3080","#AF0B0B"
"160","3082","#AF0B0B"
"200","3080","#AF0B0B"
"240","3081","#AF0B0B"
"280","3079","#AF0B0B"
"320","3079","#AF0B0B"
"360","3079","#AF0B0B"
"400","3079","#AF0B0B"
"440","3077","#AF0B0B"
"480","3080","#AF0B0B"
"520","3080","#AF0B0B"
"560","3080","#AF0B0B"
"600","3077","#AF0B0B"
"640","3080","#AF0B0B"
"680","3083","#AF0B0B"
"720","3074","#AF0B0B"
"760","3079","#AF0B0B"
"800","3079","#AF0B0B"
"840","3079","#AF0B0B"
"880","3063","#AF0B0B"
"920","3079","#AF0B0B"
"960","3080","#AF0B0B"
"1000","3079","#AF0B0B"
"1040","3079","#AF0B0B"
"1080","3080","#AF0B0B"
"1120","3081","#AF0B0B"
"1160","3080","#AF0B0B"
"1200","3080","#AF0B0B"
"1240","3081","#AF0B0B"
"1280","3080","#AF0B0B"
"1320","3079","#AF0B0B"
"1360","3078","#AF0B0B"
"1400","3079","#AF0B0B"
"1440","3080","#AF0B0B"
"1480","3077","#AF0B0B"
"1520","3080","#AF0B0B"
"1560","3080","#AF0B0B"
"1600","3079","#AF0B0B"
"1640","3064","#AF0B0B"
"1680","3080","#AF0B0B"
"1720","3080","#AF0B0B"
"1760","3081","#AF0B0B"
"1800","3079","#AF0B0B"
"1840","3082","#AF0B0B"
"1880","3082","#AF0B0B"
"1920","3081","#AF0B0B"
"1960","3076","#AF0B0B"
"2000","3079","#AF0B0B"
"2040","3079","#AF0B0B"
"2080","3076","#AF0B0B"
"2120","3062","#AF0B0B"
"2160","3063","#AF0B0B"
"2200","3062","#AF0B0B"
"2240","3060","#AF0B0B"
"2280","3059","#AF0B0B"
"2320","3061","#AF0B0B"
"2360","3062","#AF0B0B"
"2400","3063","#AF0B0B"
"2440","3064","#AF0B0B"
"2480","3060","#AF0B0B"
"2520","3062","#AF0B0B"
"2560","3062","#AF0B0B"
"2600","3062","#AF0B0B"
"2640","3063","#AF0B0B"
"2680","3060","#AF0B0B"
"2720","3062","#AF0B0B"
"2760","3062","#AF0B0B"
"2800","3060","#AF0B0B"
"2840","3063","#AF0B0B"
"2880","3059","#AF0B0B"
"2920","3061","#AF0B0B"
"2960","3057","#AF0B0B"
"3000","3058","#AF0B0B"
"3040","3081","#AF0B0B"
"3080","3064","#AF0B0B"
"3120","3083","#AF0B0B"
"3160","3079","#AF0B0B"
"3200","3082","#AF0B0B"
"3240","3079","#AF0B0B"
"3280","3081","#AF0B0B"
"3320","3082","#AF0B0B"
"3360","3081","#AF0B0B"
"3400","3080","#AF0B0B"
"3440","3081","#AF0B0B"
"3480","3080","#AF0B0B"
"3520","3080","#AF0B0B"
"3560","3081","#AF0B0B"
"3600","3079","#AF0B0B"
"3640","3079","#AF0B0B"
"3680","3079","#AF0B0B"
"3720","3079","#AF0B0B"
"3760","3079","#AF0B0B"
"3800","3079","#AF0B0B"
"3840","3079","#AF0B0B"
"3880","3080","#AF0B0B"
"3920","3079","#AF0B0B"
"3960","3079","#AF0B0B"
"4000","3079","#AF0B0B"
"4040","3079","#AF0B0B"
"4080","3081","#AF0B0B"
"4120","3079","#AF0B0B"
"4160","3079","#AF0B0B"
"4200","3079","#AF0B0B"
"4240","3079","#AF0B0B"
"4280","3079","#AF0B0B"
"4320","3079","#AF0B0B"
"4360","3079","#AF0B0B"
"4400","3080","#AF0B0B"
"4440","3080","#AF0B0B"
"4480","3079","#AF0B0B"
"4520","3079","#AF0B0B"
"4560","3079","#AF0B0B"
"4600","3079","#AF0B0B"
"4640","3079","#AF0B0B"
"4680","3079","#AF0B0B"
"4720","3080","#AF0B0B"
"4760","3079","#AF0B0B"
"4800","3080","#AF0B0B"
"4840","3079","#AF0B0B"
"4880","3079","#AF0B0B"
"4920","3080","#AF0B0B"
"4960","3065","#AF0B0B"
"5000","3073","#AF0B0B"
"5040","3079","#AF0B0B"
"5080","3079","#AF0B0B"
"5120","3080","#AF0B0B"
"5160","3079","#AF0B0B"
"5200","3079","#AF0B0B"
"5240","3080","#AF0B0B"
"5280","3079","#AF0B0B"
"5320","3081","#AF0B0B"
"5360","3079","#AF0B0B"
"5400","3081","#AF0B0B"
"5440","3079","#AF0B0B"
"5480","3073","#AF0B0B"
"5520","3079","#AF0B0B"
"5560","3079","#AF0B0B"
"5600","3079","#AF0B0B"
"5640","3078","#AF0B0B"
"5680","3079","#AF0B0B"
"5720","3081","#AF0B0B"
"5760","3081","#AF0B0B"
"5800","3079","#AF0B0B"
"5840","3080","#AF0B0B"
"5880","3073","#AF0B0B"
"5920","3080","#AF0B0B"
"5960","3078","#AF0B0B"
"6000","3080","#AF0B0B"
"6040","3079","#AF0B0B"
"6080","3079","#AF0B0B"
"6120","3080","#AF0B0B"
"6160","3072","#AF0B0B"
"6200","3071","#AF0B0B"
"6240","3081","#AF0B0B"
"6280","3079","#AF0B0B"
"6320","3077","#AF0B0B"
"6360","3079","#AF0B0B"
"6400","3079","#AF0B0B"
"6440","3079","#AF0B0B"
"6480","3079","#AF0B0B"
"6520","3079","#AF0B0B"
"6560","3079","#AF0B0B"
"6600","3081","#AF0B0B"
"6640","3080","#AF0B0B"
"6680","3080","#AF0B0B"
"6720","3079","#AF0B0B"
"6760","3079","#AF0B0B"
"6800","3075","#AF0B0B"
"6840","3079","#AF0B0B"
"6880","3080","#AF0B0B"
"6920","3080","#AF0B0B"
"6960","3080","#076969"
"7000","3146","#076969"
"7040","3218","#076969"
"7080","3219","#076969"
"7120","3219","#076969"
"7160","3218","#076969"
"7200","3219","#076969"
"7240","3219","#076969"
"7280","3219","#076969"
"7320","3219","#076969"
"7360","3218","#076969"
"7400","3219","#076969"
"7440","3217","#076969"
"7480","3219","#076969"
"7520","3219","#076969"
"7560","3218","#076969"
"7600","3218","#076969"
"7640","3219","#076969"
"7680","3219","#076969"
"7720","3219","#076969"
"7760","3218","#076969"
"7800","3219","#076969"
"7840","3217","#076969"
"7880","3219","#076969"
"7920","3219","#076969"
"7960","3219","#076969"
"8000","3219","#076969"
"8040","3219","#076969"
"8080","3219","#076969"
"8120","3219","#076969"
"8160","3219","#076969"
"8200","3218","#076969"
"8240","3219","#076969"
"8280","3214","#076969"
"8320","3219","#076969"
"8360","3218","#076969"
"8400","3219","#076969"
"8440","3219","#076969"
"8480","3219","#076969"
"8520","3219","#076969"
"8560","3219","#076969"
"8600","3218","#076969"
"8640","3219","#076969"
"8680","3219","#076969"
"8720","3219","#076969"
"8760","3219","#076969"
"8800","3219","#076969"
"8840","3219","#076969"
"8880","3219","#076969"
"8920","3219","#076969"
"8960","3219","#076969"
"9000","3219","#076969"
"9040","3218","#076969"
"9080","3218","#076969"
"9120","3219","#076969"
"9160","3218","#076969"
"9200","3217","#076969"
"9240","3218","#076969"
"9280","3219","#076969"
"9320","3219","#076969"
"9360","3219","#076969"
"9400","3219","#076969"
"9440","3219","#076969"
"9480","3219","#076969"
"9520","3219","#076969"
"9560","3219","#076969"
"9600","3218","#076969"
"9640","3219","#076969"
"9680","3219","#076969"
"9720","3218","#076969"
"9760","3219","#076969"
"9800","3219","#076969"
"9840","3220","#076969"
"9880","3219","#076969"
"9920","3219","#076969"
"9960","3219","#076969"
"10000","3220","#076969"
"10040","3218","#076969"
"10080","3218","#076969"
"10120","3219","#076969"
"10160","3219","#076969"
"10200","3218","#076969"
"10240","3219","#076969"
"10280","3219","#076969"
"10320","3219","#076969"
"10360","3215","#076969"
"10400","3219","#076969"
"10440","3219","#076969"
"10480","3219","#076969"
"10520","3219","#076969"
"10560","3219","#076969"
"10600","3219","#076969"
"10640","3219","#076969"
"10680","3219","#076969"
"10720","3219","#076969"
"10760","3219","#076969"
"10800","3218","#076969"
"10840","3219","#076969"
"10880","3218","#076969"
"10920","3217","#076969"
"10960","3219","#076969"
"11000","3218","#076969"
"11040","3218","#076969"
"11080","3219","#076969"
"11120","3218","#076969"
"11160","3218","#076969"
"11200","3219","#076969"
"11240","3219","#076969"
"11280","3219","#076969"
"11320","3219","#076969"
"11360","3219","#076969"
"11400","3219","#076969"
"11440","3219","#076969"
"11480","3219","#076969"
"11520","3219","#076969"
"11560","3219","#076969"
"11600","3219","#076969"
"11640","3218","#076969"
"11680","3219","#076969"
"11720","3219","#076969"
"11760","3219","#076969"
"11800","3218","#076969"
"11840","3219","#076969"
"11880","3219","#076969"
"11920","3219","#076969"
"11960","3219","#076969"
"12000","3219","#076969"
"12040","3219","#076969"
"12080","3218","#076969"
"12120","3218","#076969"
"12160","3219","#076969"
"12200","3219","#076969"
"12240","3219","#076969"
"12280","3219","#076969"
"12320","3219","#076969"
"12360","3219","#076969"
"12400","3219","#076969"
"12440","3219","#076969"
