"count","pow","lineColor"
"0","213.7","#AF0B0B"
"40","213.1","#AF0B0B"
"80","214","#AF0B0B"
"120","214.1","#AF0B0B"
"160","240.5","#AF0B0B"
"200","226.2","#AF0B0B"
"240","216.3","#AF0B0B"
"280","216.6","#AF0B0B"
"320","213.4","#AF0B0B"
"360","214.1","#AF0B0B"
"400","213.8","#AF0B0B"
"440","231.3","#AF0B0B"
"480","213.7","#AF0B0B"
"520","212.9","#AF0B0B"
"560","213.7","#AF0B0B"
"600","213.7","#AF0B0B"
"640","213.7","#AF0B0B"
"680","214.1","#AF0B0B"
"720","212.9","#AF0B0B"
"760","213.4","#AF0B0B"
"800","213.1","#AF0B0B"
"840","213.1","#AF0B0B"
"880","214.1","#AF0B0B"
"920","212.8","#AF0B0B"
"960","278.5","#AF0B0B"
"1000","52.8","#AF0B0B"
"1040","48.4","#AF0B0B"
"1080","48.4","#AF0B0B"
"1120","48.4","#AF0B0B"
"1160","48.4","#AF0B0B"
"1200","48.1","#AF0B0B"
"1240","48.7","#AF0B0B"
"1280","48.4","#AF0B0B"
"1320","48.1","#AF0B0B"
"1360","48.1","#AF0B0B"
"1400","48.4","#AF0B0B"
"1440","48.7","#AF0B0B"
"1480","48.4","#AF0B0B"
"1520","48.1","#AF0B0B"
"1560","48.1","#AF0B0B"
"1600","48.1","#AF0B0B"
"1640","48.1","#AF0B0B"
"1680","48","#AF0B0B"
"1720","48.4","#AF0B0B"
"1760","48.1","#AF0B0B"
"1800","48.4","#AF0B0B"
"1840","48.1","#AF0B0B"
"1880","48.1","#AF0B0B"
"1920","48.4","#AF0B0B"
"1960","48.1","#AF0B0B"
"2000","48.1","#AF0B0B"
"2040","48.1","#AF0B0B"
"2080","48.1","#AF0B0B"
"2120","48.1","#AF0B0B"
"2160","48.1","#AF0B0B"
"2200","48.1","#AF0B0B"
"2240","48.4","#AF0B0B"
"2280","48.1","#AF0B0B"
"2320","48.1","#AF0B0B"
"2360","48.1","#AF0B0B"
"2400","48.1","#AF0B0B"
"2440","48.1","#AF0B0B"
"2480","48.1","#AF0B0B"
"2520","48","#AF0B0B"
"2560","48.1","#AF0B0B"
"2600","48.1","#AF0B0B"
"2640","48.1","#AF0B0B"
"2680","48.1","#AF0B0B"
"2720","48.1","#AF0B0B"
"2760","48.4","#AF0B0B"
"2800","48.1","#AF0B0B"
"2840","48.1","#AF0B0B"
"2880","47.7","#AF0B0B"
"2920","48.1","#AF0B0B"
"2960","48.1","#AF0B0B"
"3000","48.1","#AF0B0B"
"3040","48.4","#AF0B0B"
"3080","48.1","#AF0B0B"
"3120","48","#AF0B0B"
"3160","48.4","#AF0B0B"
"3200","47.8","#AF0B0B"
"3240","47.8","#AF0B0B"
"3280","48.1","#AF0B0B"
"3320","48","#AF0B0B"
"3360","48.1","#AF0B0B"
"3400","48.1","#AF0B0B"
"3440","48.1","#AF0B0B"
"3480","48.1","#AF0B0B"
"3520","48.1","#AF0B0B"
"3560","48.1","#AF0B0B"
"3600","48.4","#AF0B0B"
"3640","48.1","#AF0B0B"
"3680","48.4","#AF0B0B"
"3720","48.1","#AF0B0B"
"3760","48.1","#AF0B0B"
"3800","48.4","#AF0B0B"
"3840","48.1","#AF0B0B"
"3880","48.4","#AF0B0B"
"3920","48.1","#AF0B0B"
"3960","48.1","#AF0B0B"
"4000","48.1","#AF0B0B"
"4040","48.1","#AF0B0B"
"4080","48.1","#AF0B0B"
"4120","48.1","#AF0B0B"
"4160","48.1","#AF0B0B"
"4200","48.4","#AF0B0B"
"4240","48.1","#AF0B0B"
"4280","48.1","#AF0B0B"
"4320","48.4","#AF0B0B"
"4360","48","#AF0B0B"
"4400","48.1","#AF0B0B"
"4440","48.1","#AF0B0B"
"4480","48.1","#AF0B0B"
"4520","48.1","#AF0B0B"
"4560","48.1","#AF0B0B"
"4600","48.1","#AF0B0B"
"4640","48.4","#AF0B0B"
"4680","48.4","#AF0B0B"
"4720","48","#AF0B0B"
"4760","48.1","#AF0B0B"
"4800","48.1","#AF0B0B"
"4840","48.1","#AF0B0B"
"4880","48.4","#AF0B0B"
"4920","48.1","#AF0B0B"
"4960","48.1","#AF0B0B"
"5000","48.1","#AF0B0B"
"5040","48","#AF0B0B"
"5080","48.1","#AF0B0B"
"5120","48.4","#AF0B0B"
"5160","48.4","#AF0B0B"
"5200","48.1","#AF0B0B"
"5240","48.1","#AF0B0B"
"5280","48.1","#AF0B0B"
"5320","48.1","#AF0B0B"
"5360","48.1","#AF0B0B"
"5400","48.1","#AF0B0B"
"5440","48.1","#AF0B0B"
"5480","48.1","#AF0B0B"
"5520","48.1","#AF0B0B"
"5560","48","#AF0B0B"
"5600","48.1","#AF0B0B"
"5640","48.1","#AF0B0B"
"5680","48","#AF0B0B"
"5720","48.1","#AF0B0B"
"5760","48.1","#AF0B0B"
"5800","48.1","#AF0B0B"
"5840","48.1","#AF0B0B"
"5880","48.1","#AF0B0B"
"5920","48.4","#AF0B0B"
"5960","48.1","#AF0B0B"
"6000","48.1","#AF0B0B"
"6040","48.1","#AF0B0B"
"6080","48.1","#AF0B0B"
"6120","48","#AF0B0B"
"6160","48.1","#AF0B0B"
"6200","48.1","#AF0B0B"
"6240","48.1","#AF0B0B"
"6280","48.1","#AF0B0B"
"6320","48","#AF0B0B"
"6360","48","#AF0B0B"
"6400","48.1","#AF0B0B"
"6440","48.1","#AF0B0B"
"6480","48.1","#AF0B0B"
"6520","48","#AF0B0B"
"6560","47.8","#AF0B0B"
"6600","48.1","#AF0B0B"
"6640","48.1","#AF0B0B"
"6680","48.4","#AF0B0B"
"6720","48.4","#AF0B0B"
"6760","48.4","#AF0B0B"
"6800","48","#AF0B0B"
"6840","48.4","#AF0B0B"
"6880","48.1","#AF0B0B"
"6920","48.4","#AF0B0B"
"6960","48.1","#AF0B0B"
"7000","48.4","#AF0B0B"
"7040","48.1","#AF0B0B"
"7080","48.1","#AF0B0B"
"7120","48","#AF0B0B"
"7160","48.4","#AF0B0B"
"7200","48.1","#AF0B0B"
"7240","48.1","#AF0B0B"
"7280","48.1","#AF0B0B"
"7320","48.1","#AF0B0B"
"7360","48.1","#AF0B0B"
"7400","48.1","#AF0B0B"
"7440","48.1","#AF0B0B"
"7480","48.1","#AF0B0B"
"7520","48.1","#AF0B0B"
"7560","48.1","#AF0B0B"
"7600","48.1","#AF0B0B"
"7640","48.1","#AF0B0B"
"7680","48.1","#AF0B0B"
"7720","47.8","#AF0B0B"
"7760","48.1","#AF0B0B"
"7800","48.1","#AF0B0B"
"7840","48","#AF0B0B"
"7880","48.1","#AF0B0B"
"7920","48.1","#AF0B0B"
"7960","48.1","#AF0B0B"
"8000","48.1","#AF0B0B"
"8040","48.1","#AF0B0B"
"8080","48.1","#AF0B0B"
"8120","48","#AF0B0B"
"8160","48.1","#AF0B0B"
"8200","48.1","#AF0B0B"
"8240","48.1","#AF0B0B"
"8280","48.1","#AF0B0B"
"8320","48.1","#AF0B0B"
"8360","48","#AF0B0B"
"8400","48.4","#AF0B0B"
"8440","48.1","#AF0B0B"
"8480","48.4","#AF0B0B"
"8520","48.4","#AF0B0B"
"8560","48","#AF0B0B"
"8600","48.1","#AF0B0B"
"8640","48.1","#AF0B0B"
"8680","48.1","#AF0B0B"
"8720","48.7","#AF0B0B"
"8760","48.4","#AF0B0B"
"8800","48.4","#AF0B0B"
"8840","48.1","#AF0B0B"
"8880","48.1","#AF0B0B"
"8920","48.1","#AF0B0B"
"8960","48.1","#AF0B0B"
"9000","48.1","#AF0B0B"
"9040","48.4","#AF0B0B"
"9080","48","#AF0B0B"
"9120","48.1","#AF0B0B"
"9160","48.1","#AF0B0B"
"9200","48.1","#AF0B0B"
"9240","48.4","#AF0B0B"
"9280","48.4","#AF0B0B"
"9320","48.4","#AF0B0B"
"9360","48","#AF0B0B"
"9400","48.1","#AF0B0B"
"9440","48.1","#AF0B0B"
"9480","48.1","#AF0B0B"
"9520","48.1","#AF0B0B"
"9560","48.1","#AF0B0B"
"9600","48.1","#AF0B0B"
"9640","48.4","#AF0B0B"
"9680","48.1","#AF0B0B"
"9720","48.1","#AF0B0B"
"9760","48.1","#AF0B0B"
"9800","48.1","#AF0B0B"
"9840","48.1","#AF0B0B"
"9880","48.1","#AF0B0B"
"9920","48.1","#AF0B0B"
"9960","48.1","#AF0B0B"
"10000","48.4","#AF0B0B"
"10040","48.4","#AF0B0B"
"10080","48.1","#AF0B0B"
"10120","48","#AF0B0B"
"10160","48.1","#AF0B0B"
"10200","48","#AF0B0B"
"10240","48.1","#AF0B0B"
"10280","48.4","#AF0B0B"
"10320","48.1","#AF0B0B"
"10360","48.7","#AF0B0B"
"10400","48.1","#AF0B0B"
"10440","49","#AF0B0B"
"10480","48.1","#AF0B0B"
"10520","48.1","#AF0B0B"
"10560","48.1","#AF0B0B"
"10600","48.4","#AF0B0B"
"10640","48.1","#AF0B0B"
"10680","48.1","#AF0B0B"
"10720","48.1","#AF0B0B"
"10760","48.1","#AF0B0B"
"10800","48.1","#AF0B0B"
"10840","48.1","#AF0B0B"
"10880","48.4","#AF0B0B"
"10920","48.1","#AF0B0B"
"10960","71.7","#076969"
"11000","214.9","#076969"
"11040","212.9","#076969"
"11080","213.5","#076969"
"11120","215.9","#076969"
"11160","213.5","#076969"
"11200","214.1","#076969"
"11240","213.9","#076969"
"11280","220.3","#076969"
"11320","213.2","#076969"
"11360","214","#076969"
"11400","214.3","#076969"
"11440","235.7","#076969"
"11480","212.6","#076969"
"11520","212.5","#076969"
"11560","212.8","#076969"
"11600","223","#076969"
"11640","214","#076969"
"11680","214.1","#076969"
"11720","214.1","#076969"
"11760","214.3","#076969"
"11800","214.3","#076969"
"11840","214.6","#076969"
"11880","214.6","#076969"
"11920","213.8","#076969"
"11960","213.5","#076969"
"12000","213.2","#076969"
"12040","213.4","#076969"
"12080","212.2","#076969"
"12120","212.5","#076969"
"12160","213.8","#076969"
"12200","215.1","#076969"
"12240","212.5","#076969"
"12280","213.5","#076969"
"12320","213.5","#076969"
"12360","239.3","#076969"
"12400","212.9","#076969"
"12440","212.5","#076969"
"12480","239.9","#076969"
"12520","212.9","#076969"
"12560","211.9","#076969"
"12600","212.5","#076969"
"12640","229.5","#076969"
"12680","212.2","#076969"
"12720","212.5","#076969"
"12760","214.1","#076969"
"12800","245","#076969"
"12840","212.8","#076969"
"12880","212.5","#076969"
"12920","214","#076969"
"12960","223.2","#076969"
"13000","212.9","#076969"
"13040","212.2","#076969"
"13080","213.6","#076969"
"13120","238.3","#076969"
"13160","238","#076969"
"13200","238.6","#076969"
"13240","238.7","#076969"
"13280","238.3","#076969"
"13320","237.7","#076969"
"13360","238.4","#076969"
"13400","238.6","#076969"
"13440","238","#076969"
"13480","238","#076969"
"13520","238.6","#076969"
"13560","237.8","#076969"
"13600","238.3","#076969"
"13640","238.5","#076969"
"13680","237.7","#076969"
"13720","238.1","#076969"
"13760","239.2","#076969"
"13800","238.6","#076969"
"13840","237.5","#076969"
"13880","238.6","#076969"
"13920","238.6","#076969"
"13960","238.3","#076969"
"14000","417.1","#076969"
"14040","216","#076969"
"14080","214.3","#076969"
"14120","214","#076969"
"14160","212.2","#076969"
"14200","213.6","#076969"
"14240","213.2","#076969"
"14280","213.9","#076969"
"14320","213.2","#076969"
"14360","214.8","#076969"
"14400","214.6","#076969"
"14440","214.6","#076969"
"14480","214.9","#076969"
"14520","214.1","#076969"
"14560","213.8","#076969"
"14600","213.4","#076969"
"14640","213.3","#076969"
"14680","214.3","#076969"
"14720","214","#076969"
"14760","213.5","#076969"
"14800","213.2","#076969"
"14840","213.2","#076969"
"14880","214.2","#076969"
"14920","214.1","#076969"
"14960","213.5","#076969"
"15000","216.6","#AF550B"
"15040","213.3","#AF550B"
"15080","213.5","#AF550B"
"15120","213.8","#AF550B"
"15160","214.3","#AF550B"
"15200","213.7","#AF550B"
"15240","213.8","#AF550B"
"15280","213.8","#AF550B"
"15320","213.8","#AF550B"
"15360","214.9","#AF550B"
"15400","213.6","#AF550B"
"15440","213.7","#AF550B"
"15480","213.8","#AF550B"
"15520","213.5","#AF550B"
"15560","213.9","#AF550B"
"15600","213.7","#AF550B"
"15640","213.5","#AF550B"
"15680","213.8","#AF550B"
"15720","213.7","#AF550B"
"15760","213.2","#AF550B"
"15800","213.2","#AF550B"
"15840","213.8","#AF550B"
"15880","213.2","#AF550B"
"15920","213.8","#AF550B"
"15960","213.7","#AF550B"
"16000","109.8","#AF0B0B"
"16040","48.3","#AF0B0B"
"16080","48.3","#AF0B0B"
"16120","48","#AF0B0B"
"16160","48.4","#AF0B0B"
"16200","48.4","#AF0B0B"
"16240","48","#AF0B0B"
"16280","48","#AF0B0B"
"16320","48","#AF0B0B"
"16360","48.4","#AF0B0B"
"16400","48","#AF0B0B"
"16440","48","#AF0B0B"
"16480","48","#AF0B0B"
"16520","48","#AF0B0B"
"16560","48.4","#AF0B0B"
"16600","48.4","#AF0B0B"
"16640","48.4","#AF0B0B"
"16680","48","#AF0B0B"
"16720","48","#AF0B0B"
"16760","48","#AF0B0B"
"16800","48.4","#AF0B0B"
"16840","48","#AF0B0B"
"16880","48.4","#AF0B0B"
"16920","48.4","#AF0B0B"
"16960","48","#AF0B0B"
"17000","48.4","#AF0B0B"
"17040","48","#AF0B0B"
"17080","48.4","#AF0B0B"
"17120","48","#AF0B0B"
"17160","48","#AF0B0B"
"17200","48","#AF0B0B"
"17240","48","#AF0B0B"
"17280","48","#AF0B0B"
"17320","48.3","#AF0B0B"
"17360","48","#AF0B0B"
"17400","47.4","#AF0B0B"
"17440","48.4","#AF0B0B"
"17480","48","#AF0B0B"
"17520","47.7","#AF0B0B"
"17560","48","#AF0B0B"
"17600","48.4","#AF0B0B"
"17640","47.7","#AF0B0B"
"17680","47.7","#AF0B0B"
"17720","48","#AF0B0B"
"17760","48","#AF0B0B"
"17800","48","#AF0B0B"
"17840","48.3","#AF0B0B"
"17880","47.7","#AF0B0B"
"17920","48.4","#AF0B0B"
"17960","48","#AF0B0B"
"18000","48","#AF0B0B"
"18040","48","#AF0B0B"
"18080","48","#AF0B0B"
"18120","48.4","#AF0B0B"
"18160","48","#AF0B0B"
"18200","48","#AF0B0B"
"18240","48.4","#AF0B0B"
"18280","48","#AF0B0B"
"18320","48","#AF0B0B"
"18360","48","#AF0B0B"
"18400","48","#AF0B0B"
"18440","48","#AF0B0B"
"18480","48","#AF0B0B"
"18520","48","#AF0B0B"
"18560","48","#AF0B0B"
"18600","48","#AF0B0B"
"18640","48.3","#AF0B0B"
"18680","48","#AF0B0B"
"18720","48","#AF0B0B"
"18760","48.4","#AF0B0B"
"18800","48","#AF0B0B"
"18840","50.4","#AF0B0B"
"18880","48","#AF0B0B"
"18920","48","#AF0B0B"
"18960","48.4","#AF0B0B"
"19000","48","#AF0B0B"
"19040","48","#AF0B0B"
"19080","48","#AF0B0B"
"19120","49.3","#AF0B0B"
"19160","50.1","#AF0B0B"
"19200","48","#AF0B0B"
"19240","48","#AF0B0B"
"19280","48","#AF0B0B"
"19320","48","#AF0B0B"
"19360","48","#AF0B0B"
"19400","48","#AF0B0B"
"19440","48","#AF0B0B"
"19480","47.7","#AF0B0B"
"19520","48.4","#AF0B0B"
"19560","48","#AF0B0B"
"19600","48","#AF0B0B"
"19640","48","#AF0B0B"
"19680","48","#AF0B0B"
"19720","48","#AF0B0B"
"19760","48.6","#AF0B0B"
"19800","48","#AF0B0B"
"19840","48","#AF0B0B"
"19880","48.3","#AF0B0B"
"19920","48","#AF0B0B"
"19960","48","#AF0B0B"
"20000","48","#AF0B0B"
"20040","48","#AF0B0B"
"20080","48","#AF0B0B"
"20120","48.4","#AF0B0B"
"20160","48","#AF0B0B"
"20200","48","#AF0B0B"
"20240","48","#AF0B0B"
"20280","48.4","#AF0B0B"
"20320","48.4","#AF0B0B"
"20360","48","#AF0B0B"
"20400","48","#AF0B0B"
"20440","48","#AF0B0B"
"20480","48","#AF0B0B"
"20520","48","#AF0B0B"
"20560","48","#AF0B0B"
"20600","48","#AF0B0B"
"20640","48","#AF0B0B"
"20680","48.3","#AF0B0B"
"20720","48","#AF0B0B"
"20760","48","#AF0B0B"
"20800","48","#AF0B0B"
"20840","48.4","#AF0B0B"
"20880","48.4","#AF0B0B"
"20920","48","#AF0B0B"
"20960","48","#AF0B0B"
"21000","48","#AF0B0B"
"21040","48","#AF0B0B"
"21080","48","#AF0B0B"
"21120","48","#AF0B0B"
"21160","48","#AF0B0B"
"21200","48","#AF0B0B"
"21240","48","#AF0B0B"
"21280","48","#AF0B0B"
"21320","48","#AF0B0B"
"21360","48","#AF0B0B"
"21400","48","#AF0B0B"
"21440","48","#AF0B0B"
"21480","48","#AF0B0B"
"21520","48.4","#AF0B0B"
"21560","48","#AF0B0B"
"21600","48","#AF0B0B"
"21640","48","#AF0B0B"
"21680","48","#AF0B0B"
"21720","48","#AF0B0B"
"21760","48","#AF0B0B"
"21800","47.7","#AF0B0B"
"21840","48","#AF0B0B"
"21880","47.7","#AF0B0B"
"21920","42.2","#AF0B0B"
"21960","48","#AF0B0B"
"22000","48","#AF0B0B"
"22040","48","#AF0B0B"
"22080","48","#AF0B0B"
"22120","48","#AF0B0B"
"22160","48","#AF0B0B"
"22200","48","#AF0B0B"
"22240","47.7","#AF0B0B"
"22280","48","#AF0B0B"
"22320","48","#AF0B0B"
"22360","48","#AF0B0B"
"22400","48","#AF0B0B"
"22440","48.4","#AF0B0B"
"22480","48","#AF0B0B"
"22520","48","#AF0B0B"
"22560","48.4","#AF0B0B"
"22600","48","#AF0B0B"
"22640","48.4","#AF0B0B"
"22680","48","#AF0B0B"
"22720","48","#AF0B0B"
"22760","48","#AF0B0B"
"22800","48","#AF0B0B"
"22840","48","#AF0B0B"
"22880","47.7","#AF0B0B"
"22920","48","#AF0B0B"
"22960","48","#AF0B0B"
"23000","48","#AF0B0B"
"23040","48","#AF0B0B"
"23080","48","#AF0B0B"
"23120","48","#AF0B0B"
"23160","48","#AF0B0B"
"23200","48","#AF0B0B"
"23240","48","#AF0B0B"
"23280","48","#AF0B0B"
"23320","48","#AF0B0B"
"23360","48","#AF0B0B"
"23400","48","#AF0B0B"
"23440","47.7","#AF0B0B"
"23480","48","#AF0B0B"
"23520","48","#AF0B0B"
"23560","48","#AF0B0B"
"23600","48","#AF0B0B"
"23640","48","#AF0B0B"
"23680","48","#AF0B0B"
"23720","48","#AF0B0B"
"23760","48","#AF0B0B"
"23800","48","#AF0B0B"
"23840","48","#AF0B0B"
"23880","48","#AF0B0B"
"23920","48","#AF0B0B"
"23960","48","#AF0B0B"
"24000","48","#AF0B0B"
"24040","48","#AF0B0B"
"24080","48","#AF0B0B"
"24120","48.4","#AF0B0B"
"24160","48","#AF0B0B"
"24200","48","#AF0B0B"
"24240","48","#AF0B0B"
"24280","48","#AF0B0B"
"24320","47.7","#AF0B0B"
"24360","48","#AF0B0B"
"24400","48","#AF0B0B"
"24440","48","#AF0B0B"
"24480","48","#AF0B0B"
"24520","48","#AF0B0B"
"24560","48","#AF0B0B"
"24600","48.4","#AF0B0B"
"24640","48","#AF0B0B"
"24680","48","#AF0B0B"
"24720","48","#AF0B0B"
"24760","48","#AF0B0B"
"24800","48","#AF0B0B"
"24840","47.7","#AF0B0B"
"24880","46.1","#AF0B0B"
"24920","48","#AF0B0B"
"24960","48","#AF0B0B"
"25000","48","#AF0B0B"
"25040","48","#AF0B0B"
"25080","48","#AF0B0B"
"25120","48","#AF0B0B"
"25160","48","#AF0B0B"
"25200","48","#AF0B0B"
"25240","48.4","#AF0B0B"
"25280","48","#AF0B0B"
"25320","47.7","#AF0B0B"
"25360","48","#AF0B0B"
"25400","48.4","#AF0B0B"
"25440","48","#AF0B0B"
"25480","48","#AF0B0B"
"25520","47.7","#AF0B0B"
"25560","48.4","#AF0B0B"
"25600","47.7","#AF0B0B"
"25640","48","#AF0B0B"
"25680","48","#AF0B0B"
"25720","48.4","#AF0B0B"
"25760","48","#AF0B0B"
"25800","48.3","#AF0B0B"
"25840","48","#AF0B0B"
"25880","48","#AF0B0B"
"25920","48","#AF0B0B"
"25960","48","#AF0B0B"
"26000","197","#076969"
"26040","212.7","#076969"
"26080","213.7","#076969"
"26120","213.7","#076969"
"26160","218","#076969"
"26200","212","#076969"
"26240","212.6","#076969"
"26280","221.8","#076969"
"26320","212.5","#076969"
"26360","212.6","#076969"
"26400","213.4","#076969"
"26440","256.5","#076969"
"26480","212.3","#076969"
"26520","212.7","#076969"
"26560","213.4","#076969"
"26600","220.5","#076969"
"26640","214.5","#076969"
"26680","214","#076969"
"26720","213.3","#076969"
"26760","213.1","#076969"
"26800","212.8","#076969"
"26840","213.1","#076969"
"26880","211.6","#076969"
"26920","212.4","#076969"
"26960","211.3","#076969"
"27000","212","#076969"
"27040","214.5","#076969"
"27080","212","#076969"
"27120","211.3","#076969"
"27160","212.2","#076969"
"27200","215.6","#076969"
"27240","212.5","#076969"
"27280","212.2","#076969"
"27320","211.1","#076969"
"27360","240.3","#076969"
"27400","211.7","#076969"
"27440","211.9","#076969"
"27480","211","#076969"
"27520","234.7","#076969"
"27560","211.3","#076969"
"27600","212","#076969"
"27640","236.6","#076969"
"27680","212.2","#076969"
"27720","211.6","#076969"
"27760","212","#076969"
"27800","216.1","#076969"
"27840","211.9","#076969"
"27880","212.2","#076969"
"27920","212.6","#076969"
"27960","212.6","#076969"
"28000","211.8","#076969"
"28040","212.7","#076969"
"28080","212.7","#076969"
"28120","229.1","#076969"
"28160","236.1","#076969"
"28200","235.5","#076969"
"28240","236.1","#076969"
"28280","235.2","#076969"
"28320","235.5","#076969"
"28360","234.7","#076969"
"28400","236.3","#076969"
"28440","236.3","#076969"
"28480","234.8","#076969"
"28520","236.9","#076969"
"28560","237.2","#076969"
"28600","236.3","#076969"
"28640","237.4","#076969"
"28680","236.8","#076969"
"28720","237.1","#076969"
"28760","237.2","#076969"
"28800","236.1","#076969"
"28840","237.2","#076969"
"28880","236.9","#076969"
"28920","236","#076969"
"28960","237.2","#076969"
"29000","316.3","#076969"
"29040","283","#076969"
"29080","213","#076969"
"29120","211.9","#076969"
"29160","212.3","#076969"
"29200","212","#076969"
"29240","212.9","#076969"
"29280","212","#076969"
"29320","212.5","#076969"
"29360","212.6","#076969"
"29400","212.4","#076969"
"29440","211.7","#076969"
"29480","213.1","#076969"
"29520","212.6","#076969"
"29560","212.1","#076969"
"29600","212.6","#076969"
"29640","211.7","#076969"
"29680","211.7","#076969"
"29720","212.3","#076969"
"29760","211.4","#076969"
"29800","213.3","#076969"
"29840","212.6","#076969"
"29880","212","#076969"
"29920","212","#076969"
"29960","212.6","#076969"
"30000","215","#AF550B"
"30040","212","#AF550B"
"30080","213","#AF550B"
"30120","212.1","#AF550B"
"30160","211.7","#AF550B"
"30200","212.6","#AF550B"
"30240","212.6","#AF550B"
"30280","212.6","#AF550B"
"30320","212","#AF550B"
"30360","212.9","#AF550B"
"30400","213","#AF550B"
"30440","212.3","#AF550B"
"30480","212.3","#AF550B"
"30520","212.6","#AF550B"
"30560","212.4","#AF550B"
"30600","213","#AF550B"
"30640","213","#AF550B"
"30680","213.3","#AF550B"
"30720","212.3","#AF550B"
"30760","213.3","#AF550B"
"30800","213","#AF550B"
"30840","213","#AF550B"
"30880","212.7","#AF550B"
"30920","212.6","#AF550B"
"30960","212.7","#AF550B"
"31000","190","#AF0B0B"
"31040","48.3","#AF0B0B"
"31080","48.4","#AF0B0B"
"31120","48.3","#AF0B0B"
"31160","48.3","#AF0B0B"
"31200","48.3","#AF0B0B"
"31240","48","#AF0B0B"
"31280","48","#AF0B0B"
"31320","48","#AF0B0B"
"31360","48.3","#AF0B0B"
"31400","48","#AF0B0B"
"31440","48","#AF0B0B"
"31480","48.3","#AF0B0B"
"31520","48","#AF0B0B"
"31560","48.3","#AF0B0B"
"31600","48.3","#AF0B0B"
"31640","48.4","#AF0B0B"
"31680","48","#AF0B0B"
"31720","48.3","#AF0B0B"
"31760","48.3","#AF0B0B"
"31800","48","#AF0B0B"
"31840","48","#AF0B0B"
"31880","48","#AF0B0B"
"31920","48","#AF0B0B"
"31960","48.3","#AF0B0B"
"32000","48","#AF0B0B"
"32040","48","#AF0B0B"
"32080","48","#AF0B0B"
"32120","48","#AF0B0B"
"32160","48","#AF0B0B"
"32200","48.3","#AF0B0B"
"32240","48","#AF0B0B"
"32280","48.3","#AF0B0B"
"32320","48","#AF0B0B"
"32360","48","#AF0B0B"
"32400","48","#AF0B0B"
"32440","48","#AF0B0B"
"32480","48","#AF0B0B"
"32520","48","#AF0B0B"
"32560","48","#AF0B0B"
"32600","48","#AF0B0B"
"32640","48.4","#AF0B0B"
"32680","48.3","#AF0B0B"
"32720","48","#AF0B0B"
