160,0
14	51.17,45.5,207	16.08,14.3,67.6	3187.39,3063,3190	10000
15	223.70,98.6,270	73.23,31.3,89.3	3056.72,3024,3153	3900
16	239.71,213.3,292.2	78.89,69.6,98.3	3040.75,2973,3065	1000
17	233.20,226,236.6	76.53,74,77.7	3047.83,3046,3055	300
18	51.14,50,195.9	16.07,15.7,63.8	3187.13,3072,3190	10000
19	223.24,98.6,263.7	73.07,31.3,87.6	3057.21,3011,3153	3900
20	242.50,218.3,282.4	79.72,71.3,93.4	3043.60,3019,3062	1000
21	235.40,220.6,239.4	77.23,72.1,78.6	3049.14,3047,3060	350
22	51.00,50,143.2	16.01,15.7,46.1	3189.07,3108,3191	10000
160,20
2	219.65,135.7,256.5	73.30,43.7,86.2	2998.63,2952,3107	3900
3	239.13,218.4,267.1	80.43,73.1,89.8	2974.33,2913,3001	1050
4	230.85,229.7,233	77.32,76.9,78.1	2986.33,2984,2989	300
5	51.25,40.9,239.2	16.06,12.8,80.8	3197.73,2961,3200	10000
6	219.76,137.2,263.3	73.30,44.2,92	3000.47,2862,3106	3900
7	243.54,221.2,271.8	82.19,73.9,91.8	2964.65,2908,2995	1000
8	231.57,229.8,233.6	77.57,76.9,78.3	2986.00,2980,2990	300
9	51.26,38.6,248.1	16.06,12.1,83.4	3197.81,2976,3200	10000
10	219.60,143.8,252.8	73.21,46.5,86.2	3001.77,2933,3093	3900
11	234.70,218.2,250.4	78.66,72.8,85.2	2984.90,2939,3009	1000
12	231.18,222.5,234.9	77.22,74,78.6	2994.67,2989,3007	300
13	51.39,47,258.9	16.11,14.7,89	3198.37,2910,3203	10000
14	219.86,97.9,258	73.11,31.1,85.8	3009.55,2979,3148	3850
15	236.64,209.3,279.6	79.30,69.2,94.7	2986.71,2907,3025	1050
16	230.82,226.8,232.1	77.03,75.5,77.5	2997.00,2993,3004	300
17	51.20,50.2,207.6	16.03,15.7,69.5	3200.59,2988,3203	10000
18	221.49,144.4,260.9	73.56,46.6,89.5	3013.14,2916,3100	3900
19	248.08,213.7,290.7	83.34,70.7,98.5	2979.45,2895,3024	1000
20	236.58,231.3,256.9	78.77,77,85.4	3004.17,3001,3009	300
21	51.37,49.9,253.1	16.09,15.6,85.6	3201.53,2957,3204	10000
