"count","volt","lineColor"
"0","2987","#AF0B0B"
"50","3046","#AF0B0B"
"100","3035","#AF0B0B"
"150","3066","#AF0B0B"
"200","3044","#AF0B0B"
"250","3061","#AF0B0B"
"300","3040","#AF0B0B"
"350","3034","#AF0B0B"
"400","3045","#AF0B0B"
"450","3046","#AF0B0B"
"500","3056","#AF0B0B"
"550","3044","#AF0B0B"
"600","3051","#AF0B0B"
"650","3068","#AF0B0B"
"700","3048","#AF0B0B"
"750","3057","#AF0B0B"
"800","3061","#AF0B0B"
"850","3057","#AF0B0B"
"900","3046","#AF0B0B"
"950","3053","#AF0B0B"
"1000","3049","#AF0B0B"
"1050","3050","#AF0B0B"
"1100","3052","#AF0B0B"
"1150","3050","#AF0B0B"
"1200","3051","#AF0B0B"
"1250","3051","#AF0B0B"
"1300","3094","#076969"
"1350","3191","#076969"
"1400","3191","#076969"
"1450","3191","#076969"
"1500","3191","#076969"
"1550","3191","#076969"
"1600","3190","#076969"
"1650","3191","#076969"
"1700","3190","#076969"
"1750","3191","#076969"
"1800","3192","#076969"
"1850","3190","#076969"
"1900","3191","#076969"
"1950","3191","#076969"
"2000","3191","#076969"
"2050","3191","#076969"
"2100","3191","#076969"
"2150","3190","#076969"
"2200","3191","#076969"
"2250","3192","#076969"
"2300","3191","#076969"
"2350","3191","#076969"
"2400","3191","#076969"
"2450","3191","#076969"
"2500","3191","#076969"
"2550","3191","#076969"
"2600","3191","#076969"
"2650","3191","#076969"
"2700","3191","#076969"
"2750","3192","#076969"
"2800","3191","#076969"
"2850","3191","#076969"
"2900","3191","#076969"
"2950","3191","#076969"
"3000","3191","#076969"
"3050","3191","#076969"
"3100","3191","#076969"
"3150","3191","#076969"
"3200","3190","#076969"
"3250","3191","#076969"
"3300","3191","#076969"
"3350","3191","#076969"
"3400","3191","#076969"
"3450","3191","#076969"
"3500","3191","#076969"
"3550","3191","#076969"
"3600","3191","#076969"
"3650","3191","#076969"
"3700","3191","#076969"
"3750","3190","#076969"
"3800","3188","#076969"
