"count","curr","lineColor"
"0","77.9","#AF0B0B"
"50","78.3","#AF0B0B"
"100","77.9","#AF0B0B"
"150","78.1","#AF0B0B"
"200","77.9","#AF0B0B"
"250","78.2","#AF0B0B"
"300","47.5","#AF0B0B"
"350","16","#AF0B0B"
"400","16","#AF0B0B"
"450","15.9","#AF0B0B"
"500","16","#AF0B0B"
"550","15.9","#AF0B0B"
"600","15.9","#AF0B0B"
"650","15.9","#AF0B0B"
"700","15.9","#AF0B0B"
"750","15.9","#AF0B0B"
"800","16","#AF0B0B"
"850","15.9","#AF0B0B"
"900","15.9","#AF0B0B"
"950","15.9","#AF0B0B"
"1000","16","#AF0B0B"
"1050","15.9","#AF0B0B"
"1100","15.9","#AF0B0B"
"1150","15.9","#AF0B0B"
"1200","15.9","#AF0B0B"
"1250","15.9","#AF0B0B"
"1300","16","#AF0B0B"
"1350","15.8","#AF0B0B"
"1400","16","#AF0B0B"
"1450","16.4","#AF0B0B"
"1500","15.9","#AF0B0B"
"1550","16","#AF0B0B"
"1600","16","#AF0B0B"
"1650","15.9","#AF0B0B"
"1700","16.6","#AF0B0B"
"1750","16.1","#AF0B0B"
"1800","15.9","#AF0B0B"
"1850","15.9","#AF0B0B"
"1900","15.9","#AF0B0B"
"1950","15.9","#AF0B0B"
"2000","15.9","#AF0B0B"
"2050","15.9","#AF0B0B"
"2100","15.9","#AF0B0B"
"2150","15.9","#AF0B0B"
"2200","15.9","#AF0B0B"
"2250","15.8","#AF0B0B"
"2300","16","#AF0B0B"
"2350","16","#AF0B0B"
"2400","15.9","#AF0B0B"
"2450","15.9","#AF0B0B"
"2500","15.9","#AF0B0B"
"2550","16","#AF0B0B"
"2600","15.9","#AF0B0B"
"2650","15.9","#AF0B0B"
"2700","15.9","#AF0B0B"
"2750","15.9","#AF0B0B"
"2800","15.9","#AF0B0B"
"2850","15.9","#AF0B0B"
"2900","15.9","#AF0B0B"
"2950","15.9","#AF0B0B"
"3000","15.9","#AF0B0B"
"3050","15.9","#AF0B0B"
"3100","15.9","#AF0B0B"
"3150","15.9","#AF0B0B"
"3200","15.9","#AF0B0B"
"3250","15.9","#AF0B0B"
"3300","15.9","#AF0B0B"
"3350","15.9","#AF0B0B"
"3400","15.9","#AF0B0B"
"3450","15.9","#AF0B0B"
"3500","16","#AF0B0B"
"3550","15.9","#AF0B0B"
"3600","15.9","#AF0B0B"
"3650","15.9","#AF0B0B"
"3700","15.9","#AF0B0B"
"3750","15.9","#AF0B0B"
"3800","15.9","#AF0B0B"
"3850","15.9","#AF0B0B"
"3900","15.9","#AF0B0B"
"3950","15.9","#AF0B0B"
"4000","16","#AF0B0B"
"4050","15.9","#AF0B0B"
"4100","15.9","#AF0B0B"
"4150","15.9","#AF0B0B"
"4200","15.9","#AF0B0B"
"4250","15.9","#AF0B0B"
"4300","15.9","#AF0B0B"
"4350","15.9","#AF0B0B"
"4400","15.9","#AF0B0B"
"4450","15.9","#AF0B0B"
"4500","16.1","#AF0B0B"
"4550","15.9","#AF0B0B"
"4600","15.9","#AF0B0B"
"4650","15.9","#AF0B0B"
"4700","15.9","#AF0B0B"
"4750","15.9","#AF0B0B"
"4800","15.9","#AF0B0B"
"4850","15.9","#AF0B0B"
"4900","15.9","#AF0B0B"
"4950","15.9","#AF0B0B"
"5000","15.9","#AF0B0B"
"5050","16","#AF0B0B"
"5100","15.9","#AF0B0B"
"5150","15.9","#AF0B0B"
