"count","time","lineColor","label"
"65","50","","50"
"66","4900","#AF0B0B","4900"
"67","300","#076969","300"
"68","10000","#AF550B","10000"
"69","3900","#098C09","3900"
"70","1050","#AF0B0B","1050"
"71","300","#076969","300"
"72","10000","#AF550B","10000"
"73","3950","#098C09","3950"
"74","1000","#AF0B0B","1000"
"75","300","#076969","300"
"76","10000","#AF550B","10000"
"77","3900","#098C09","3900"
"78","1050","#AF0B0B","1050"
"79","300","#076969","300"
"80","10000","#AF550B","10000"
"81","3900","#098C09","3900"
"82","1000","#AF0B0B","1000"
"83","350","#076969","350"
"84","10000","#AF550B","10000"
"85","3950","#098C09","3950"
"86","1000","#AF0B0B","1000"
"87","300","#076969","300"
"88","10000","#AF550B","10000"
"89","3950","#098C09","3950"
"90","1000","#AF0B0B","1000"
"91","350","#076969","350"
"92","3250","#AF550B","3250"
