"count","time","lineColor","label"
"27","50","","50"
"28","1300","#AF0B0B","1300"
"29","10000","#076969","10000"
"30","3900","#AF550B","3900"
"31","1000","#098C09","1000"
"32","300","#AF0B0B","300"
"33","10000","#076969","10000"
"34","3900","#AF550B","3900"
"35","1000","#098C09","1000"
"36","350","#AF0B0B","350"
"37","10000","#076969","10000"
"38","3900","#AF550B","3900"
"39","1000","#098C09","1000"
"40","300","#AF0B0B","300"
"41","10000","#076969","10000"
"42","3900","#AF550B","3900"
"43","1000","#098C09","1000"
"44","300","#AF0B0B","300"
"45","10000","#076969","10000"
"46","3900","#AF550B","3900"
"47","1000","#098C09","1000"
"48","350","#AF0B0B","350"
"49","10000","#076969","10000"
"50","3900","#AF550B","3900"
"51","1000","#098C09","1000"
"52","300","#AF0B0B","300"
"53","7400","#076969","7400"
