"count","time","lineColor","label"
"37","50","","50"
"38","4900","#AF0B0B","4900"
"39","300","#076969","300"
"40","10000","#AF550B","10000"
"41","3900","#098C09","3900"
"42","1050","#AF0B0B","1050"
"43","300","#076969","300"
"44","10000","#AF550B","10000"
"45","3900","#098C09","3900"
"46","1050","#AF0B0B","1050"
"47","300","#076969","300"
"48","10000","#AF550B","10000"
"49","3950","#098C09","3950"
"50","1000","#AF0B0B","1000"
"51","350","#076969","350"
"52","10000","#AF550B","10000"
"53","3900","#098C09","3900"
"54","1050","#AF0B0B","1050"
"55","300","#076969","300"
"56","10000","#AF550B","10000"
"57","3950","#098C09","3950"
"58","1000","#AF0B0B","1000"
"59","350","#076969","350"
"60","10000","#AF550B","10000"
"61","3950","#098C09","3950"
"62","1000","#AF0B0B","1000"
"63","350","#076969","350"
"64","3150","#AF550B","3150"
