"count","time","lineColor","label"
"1","1300","#AF0B0B","1300"
"2","10000","#076969","10000"
"3","3900","#AF550B","3900"
"4","1050","#098C09","1050"
"5","300","#AF0B0B","300"
"6","10000","#076969","10000"
"7","3900","#AF550B","3900"
"8","1000","#098C09","1000"
"9","300","#AF0B0B","300"
"10","10000","#076969","10000"
"11","3900","#AF550B","3900"
"12","1000","#098C09","1000"
"13","300","#AF0B0B","300"
"14","10000","#076969","10000"
"15","3850","#AF550B","3850"
"16","1050","#098C09","1050"
"17","300","#AF0B0B","300"
"18","10000","#076969","10000"
"19","3900","#AF550B","3900"
"20","1000","#098C09","1000"
"21","300","#AF0B0B","300"
"22","10000","#076969","10000"
"23","3900","#AF550B","3900"
"24","1000","#098C09","1000"
"25","350","#AF0B0B","350"
"26","7400","#076969","7400"
